"","cutree(hcg, k = 10)"
"Bra000003",1
"Bra000024",1
"Bra000028",2
"Bra000031",3
"Bra000036",2
"Bra000065",3
"Bra000073",4
"Bra000079,Bra000080",4
"Bra000089,Bra000090",4
"Bra000111",4
"Bra000130",5
"Bra000144",3
"Bra000157",1
"Bra000159",6
"Bra000207",7
"Bra000240",3
"Bra000242",6
"Bra000263",1
"Bra000285",2
"Bra000293",3
"Bra000294",3
"Bra000302,Bra000303",5
"Bra000310",8
"Bra000321",3
"Bra000338",6
"Bra000382",3
"Bra000384",4
"Bra000391",2
"Bra000394",7
"Bra000408",7
"Bra000412",7
"Bra000440",6
"Bra000460",3
"Bra000461",7
"Bra000472",2
"Bra000483",2
"Bra000534",3
"Bra000536",1
"Bra000538",3
"Bra000567",3
"Bra000587",9
"Bra000600",7
"Bra000614",4
"Bra000616,Bra000617",6
"Bra000623",6
"Bra000654",1
"Bra000657",5
"Bra000659",6
"Bra000662",2
"Bra000663",1
"Bra000699",4
"Bra000711",6
"Bra000739",3
"Bra000741",3
"Bra000757",7
"Bra000760",1
"Bra000769",4
"Bra000777",4
"Bra000785",4
"Bra000787",4
"Bra000806",1
"Bra000821",6
"Bra000848",1
"Bra000849",1
"Bra000853",6
"Bra000863",3
"Bra000867",5
"Bra000875,Bra000876",3
"Bra000878",3
"Bra000884",7
"Bra000885",10
"Bra000901",3
"Bra000942",3
"Bra000952,Bra000953",2
"Bra000955",7
"Bra000961",3
"Bra000989",6
"Bra001003",4
"Bra001009",9
"Bra001020",6
"Bra001034",3
"Bra001037",10
"Bra001052",1
"Bra001090",1
"Bra001094",1
"Bra001104",6
"Bra001114",9
"Bra001116",6
"Bra001121",7
"Bra001127",6
"Bra001151",2
"Bra001154",6
"Bra001156",6
"Bra001177",2
"Bra001186",3
"Bra001200,Bra001201",2
"Bra001207",1
"Bra001213",1
"Bra001289",4
"Bra001291",5
"Bra001297",1
"Bra001306",6
"Bra001317",3
"Bra001346",4
"Bra001348,Bra001349",4
"Bra001358,Bra001359,tRNA-Tyr",3
"Bra001368",1
"Bra001372",4
"Bra001373",2
"Bra001401",1
"Bra001406",6
"Bra001415",2
"Bra001447",3
"Bra001450",6
"Bra001451",3
"Bra001461",3
"Bra001489",2
"Bra001501",3
"Bra001535",5
"Bra001539",3
"Bra001550",2
"Bra001579",1
"Bra001587",2
"Bra001591,Bra001592",2
"Bra001618",2
"Bra001626",3
"Bra001662",8
"Bra001676,Bra001678",3
"Bra001715",6
"Bra001738",1
"Bra001761",1
"Bra001783",3
"Bra001788",1
"Bra001816",3
"Bra001848",2
"Bra001911",6
"Bra001925",1
"Bra001934",6
"Bra001942",3
"Bra001950",4
"Bra001958,Bra001959",7
"Bra001970",1
"Bra002023",8
"Bra002038",1
"Bra002045",6
"Bra002080",5
"Bra002081",10
"Bra002086",7
"Bra002099,Bra002100",3
"Bra002101",6
"Bra002106",6
"Bra002113",5
"Bra002137",3
"Bra002156",1
"Bra002191",2
"Bra002216,Bra002217",10
"Bra002220",3
"Bra002221",3
"Bra002227",1
"Bra002237",2
"Bra002255",8
"Bra002258",6
"Bra002261",9
"Bra002273",2
"Bra002290,Bra002291",6
"Bra002296",3
"Bra002318",3
"Bra002322",1
"Bra002326",2
"Bra002354",8
"Bra002373",5
"Bra002382",7
"Bra002385,Bra002386",7
"Bra002388",3
"Bra002412",3
"Bra002422",6
"Bra002424,Bra002425",6
"Bra002456",4
"Bra002468",3
"Bra002483",6
"Bra002485",1
"Bra002523",2
"Bra002561",6
"Bra002567,Bra002568",3
"Bra002584",4
"Bra002596",3
"Bra002617",3
"Bra002619",7
"Bra002630",5
"Bra002645,tRNA-Ser",7
"Bra002655,Bra002656",5
"Bra002665",9
"Bra002677",3
"Bra002684",3
"Bra002697",5
"Bra002703",2
"Bra002710",3
"Bra002715,Bra002716",3
"Bra002799,tRNA-Ser",1
"Bra002804",2
"Bra002839,Bra002840",8
"Bra002861",1
"Bra002886",3
"Bra002900",2
"Bra002914",8
"Bra002917,Bra002918",6
"Bra002944",3
"Bra002973,Bra002974",2
"Bra002975",10
"Bra003001,Bra003002",1
"Bra003007,Bra003009",1
"Bra003015",4
"Bra003024",5
"Bra003034",4
"Bra003053",2
"Bra003055",1
"Bra003059",2
"Bra003062",2
"Bra003063",5
"Bra003086",4
"Bra003114,Bra003115",3
"Bra003147",2
"Bra003152",10
"Bra003155",9
"Bra003159",2
"Bra003163",4
"Bra003184,Bra003186",9
"Bra003190",1
"Bra003209",7
"Bra003239",4
"Bra003241,Bra003242",6
"Bra003253",5
"Bra003273",8
"Bra003276,Bra003277",7
"Bra003336",6
"Bra003355",10
"Bra003396",4
"Bra003427,Bra003428",6
"Bra003434",7
"Bra003457",1
"Bra003471",6
"Bra003486,Bra003487",2
"Bra003504",5
"Bra003512",6
"Bra003527",10
"Bra003541,Bra003542,Bra003543,Bra003544",1
"Bra003604",2
"Bra003617",5
"Bra003618",3
"Bra003624",4
"Bra003653",1
"Bra003670",3
"Bra003705",6
"Bra003716",3
"Bra003750",4
"Bra003757,U4",3
"Bra003758",2
"Bra003765",3
"Bra003776",2
"Bra003840,Bra003841",4
"Bra003841",2
"Bra003864",1
"Bra003942",1
"Bra003949",1
"Bra004024",3
"Bra004066",5
"Bra004077,Bra004078",3
"Bra004087,snoR74",1
"Bra004094",3
"Bra004101",2
"Bra004109",7
"Bra004113",7
"Bra004118",4
"Bra004138",1
"Bra004177,Bra004178",2
"Bra004188",3
"Bra004214,Bra004215",2
"Bra004222",5
"Bra004225",6
"Bra004244",2
"Bra004247,Bra004248",7
"Bra004267",5
"Bra004324",2
"Bra004355",4
"Bra004388,Bra004389,Bra004390,Bra004391",7
"Bra004400",6
"Bra004435",7
"Bra004436",3
"Bra004460",2
"Bra004497",4
"Bra004504",4
"Bra004518",1
"Bra004528",1
"Bra004537",8
"Bra004540",3
"Bra004545",7
"Bra004546",3
"Bra004562",4
"Bra004581",3
"Bra004604",10
"Bra004639",2
"Bra004649",1
"Bra004654",6
"Bra004675",6
"Bra004683",2
"Bra004722",1
"Bra004744",1
"Bra004749",1
"Bra004763",3
"Bra004771",8
"Bra004782",1
"Bra004783",5
"Bra004792",1
"Bra004795,Bra004796",3
"Bra004806",6
"Bra004834,Bra004835,Bra004836",9
"Bra004850",6
"Bra004853",2
"Bra004871",1
"Bra004875",3
"Bra004895,Bra004897,Bra004898",2
"Bra004937,Bra004938",6
"Bra004940",7
"Bra004943",1
"Bra004960",7
"Bra004995",1
"Bra004997",7
"Bra005002",1
"Bra005003",5
"Bra005012",1
"Bra005019",4
"Bra005026",6
"Bra005064",2
"Bra005097",6
"Bra005099",1
"Bra005134",2
"Bra005141",2
"Bra005168",8
"Bra005175",9
"Bra005177",1
"Bra005180",6
"Bra005193",4
"Bra005211,Bra005212",6
"Bra005216",7
"Bra005227,Bra005229",7
"Bra005235",2
"Bra005258",5
"Bra005261",1
"Bra005296",1
"Bra005306",3
"Bra005310",7
"Bra005329",3
"Bra005335",3
"Bra005337",6
"Bra005341,Bra005342",6
"Bra005347",6
"Bra005371",1
"Bra005397",3
"Bra005404",6
"Bra005441",9
"Bra005476",9
"Bra005505",3
"Bra005514",1
"Bra005521",7
"Bra005531",2
"Bra005546",7
"Bra005570",6
"Bra005598",7
"Bra005601",6
"Bra005603",1
"Bra005607",6
"Bra005635",6
"Bra005641",1
"Bra005661,Bra005662",4
"Bra005663",2
"Bra005668",6
"Bra005673",3
"Bra005677",1
"Bra005682,Bra005683",10
"Bra005686",4
"Bra005696",2
"Bra005709",3
"Bra005715",4
"Bra005718,Bra005767",3
"Bra005727",7
"Bra005745",6
"Bra005749",1
"Bra005759",6
"Bra005770",3
"Bra005784",1
"Bra005798",9
"Bra005804",4
"Bra005809",5
"Bra005817",6
"Bra005820",6
"Bra005822",7
"Bra005881",1
"Bra005889",3
"Bra005923",6
"Bra005929",3
"Bra005974",10
"Bra005980",9
"Bra005982",4
"Bra006016",7
"Bra006029",2
"Bra006031",3
"Bra006048",5
"Bra006051",7
"Bra006052",2
"Bra006053",1
"Bra006061",3
"Bra006101",7
"Bra006182",2
"Bra006198,Bra006199",1
"Bra006200",6
"Bra006211",3
"Bra006215",1
"Bra006224",7
"Bra006227",2
"Bra006233",10
"Bra006234",1
"Bra006248",2
"Bra006262",2
"Bra006272,Bra006329",5
"Bra006289",1
"Bra006290",5
"Bra006291",9
"Bra006297",3
"Bra006332,Bra006333",3
"Bra006337",3
"Bra006338",6
"Bra006340",6
"Bra006351,Bra006352",9
"Bra006360",4
"Bra006380",6
"Bra006413",2
"Bra006454",6
"Bra006456",10
"Bra006482",6
"Bra006515",6
"Bra006517",3
"Bra006523",7
"Bra006530",1
"Bra006536",2
"Bra006538",6
"Bra006553",6
"Bra006567",6
"Bra006579",3
"Bra006597",2
"Bra006603",7
"Bra006622",2
"Bra006623",3
"Bra006626",6
"Bra006629",1
"Bra006633",1
"Bra006639",2
"Bra006685",2
"Bra006694",3
"Bra006700",8
"Bra006710,Bra006711,Bra006712,Bra006713,Bra006714",3
"Bra006748",1
"Bra006750",3
"Bra006768",1
"Bra006770",3
"Bra006778",9
"Bra006787",1
"Bra006794",3
"Bra006795,Bra006796,Bra006797,U2",2
"Bra006857",6
"Bra006877,Bra006878",1
"Bra006879",2
"Bra006936",6
"Bra007020",9
"Bra007047",2
"Bra007070",6
"Bra007105",7
"Bra007116",3
"Bra007131",2
"Bra007143,Bra007146",1
"Bra007151,Bra007152",6
"Bra007174",1
"Bra007181",6
"Bra007195",3
