"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"1","Bra028666","Bra031705","Bra009396,Bra009397,Bra009398","Bra002422","Bra039057","Bra016226","Bra011541","Bra013225","Bra037731","Bra008406","Bra022736","Bra007020","Bra003184,Bra003186","Bra019212,Bra019213","Bra006048","Bra005682,Bra005683","Bra006233","Bra011076","Bra021810,Bra021811,Bra021812","Bra036146","Bra002645,tRNA-Ser","Bra023673","Bra021650","Bra005261","Bra001368","Bra028992","Bra029857","Bra005441","Bra001925","Bra020125","Bra009603,Bra009604","Bra012144","Bra030805,Bra030806","Bra018759","Bra004895,Bra004897,Bra004898","Bra014326","Bra000483","Bra011134","Bra000901","Bra024290,Bra024291,Bra024292,Bra024293,Bra024294","Bra030031","Bra007131","Bra027754","Bra013950","Bra013156","Bra035281","Bra002630","Bra007283","Bra006748","Bra011488","Bra020599","Bra006710,Bra006711,Bra006712,Bra006713,Bra006714","Bra000662","Bra032210","Bra014730","Bra013924","Bra023023","Bra027355,Bra027356"
"2","Bra006380","Bra005476","Bra014436","Bra030922","Bra037068","Bra021067","Bra030727,Bra030760,Bra030763","Bra016974","Bra041123","Bra030808","Bra023365","Bra000587","Bra009410","Bra010283","Bra034063","Bra014865","Bra006456","Bra026415","Bra022908","Bra028357","Bra009968","Bra009758","Bra017986","Bra030405,Bra030406","Bra037177","Bra033199","Bra004355","Bra021898,Bra021899","Bra003942","Bra032135,Bra032136","Bra013949","Bra029813,Bra029814","Bra008699","Bra016402","Bra009948,Bra009949","Bra014529","Bra002273","Bra033493","Bra006536","Bra028689,tRNA-Leu","Bra000294","Bra003841","Bra013155","Bra005003","Bra026334","Bra037475","Bra029472,Bra029473","Bra039713,Bra039714","Bra004850","Bra020040","Bra034989","Bra000739","Bra023900","Bra036251","Bra029614,Bra029615","Bra040100","Bra022505","Bra030587"
"3","Bra026128","Bra037080","Bra027110,Bra027111","Bra028543","Bra024794","Bra019626","Bra008517","Bra020430","Bra019784","Bra005974","Bra033275,Bra033276","Bra033255",NA,"Bra025547","Bra001114","Bra020082","Bra031165","Bra008876","Bra032548","Bra040573","Bra013957","Bra024615","Bra005603","Bra037976","Bra036764","Bra006633","Bra017684","Bra013069","Bra019718","Bra040749","Bra004497","Bra015843","Bra019539","Bra038899","Bra006290","Bra006750","Bra003486,Bra003487","Bra012054","Bra003053",NA,"Bra040771","Bra032284","Bra014870","Bra005531","Bra006215","Bra004528","Bra026474","Bra013132","Bra013223,Bra013224","Bra010085","Bra027736","Bra013171","Bra004222","Bra014671","Bra010483","Bra036908","Bra003716","Bra032166"
"4","Bra005677","Bra021658,Bra021659,Bra021660","Bra016481,Bra016482","Bra033999","Bra008957","Bra000391","Bra013863","Bra027049","Bra027035","Bra002975","Bra016557","Bra036730",NA,"Bra031041,Bra031042,Bra031044","Bra031648,Bra031649","Bra025511,Bra025512,Bra025513","Bra021037","Bra025858","Bra010681","Bra001848","Bra040417",NA,"Bra010171","Bra002861","Bra038157","Bra022234","Bra001372","Bra005546","Bra026043","Bra012651","Bra030317","Bra002596","Bra029099","Bra013805","Bra013012","Bra030576","Bra031084,Bra031085","Bra024000,Bra024002,Bra024003","Bra004244",NA,NA,"Bra018876","Bra005064","Bra009330,Bra009331","Bra010124","Bra016471","Bra036321","Bra033389","Bra020980","Bra024214","Bra037358","Bra018232","Bra036365","Bra033053,Bra033054","Bra013563","Bra002710","Bra013430","Bra019560"
"5","Bra013239","Bra016153","Bra010126",NA,"Bra005341,Bra005342","Bra004101","Bra022884","Bra005168","Bra009243,Bra009244","Bra027972,Bra027973","Bra033973","Bra017672",NA,"Bra036325,Bra036326,Bra036327","Bra027093,Bra027094","Bra038233","Bra039578","Bra019733","Bra002804","Bra040630","Bra039936",NA,"Bra011819","Bra011872","Bra011677","Bra028474","Bra004562","Bra015665","Bra022600","Bra018596","Bra026770","Bra014950,Bra014951,Bra014958","Bra027527,Bra027528","Bra039661","Bra028141","Bra033489","Bra016016,Bra016017","Bra020036",NA,NA,NA,"Bra001618","Bra027196","Bra011148,Bra011150","Bra012724","Bra028875","Bra027456","Bra011116",NA,"Bra026231","Bra018695",NA,"Bra021961","Bra033368","Bra037215","Bra032196","Bra014195","Bra024531"
"6","Bra030885","Bra021826","Bra016502",NA,"Bra008003","Bra014291","Bra022836","Bra014550","Bra011556,Bra011557,Bra011558","Bra036155","Bra037411","Bra016198,Bra016199",NA,"Bra020836","Bra028740","Bra024186,Bra024187","Bra033757","Bra013582","Bra007047","Bra011047","Bra013906",NA,"Bra014600","Bra008683","Bra039212","Bra000769","Bra028754","Bra029307,Bra029308","Bra032192","Bra034828","Bra013476","Bra018849","Bra005306","Bra025262","Bra033442","Bra001151","Bra011536","Bra023164",NA,NA,NA,"Bra023392","Bra007462","Bra027961,Bra027962","Bra006482","Bra018828","Bra004834,Bra004835,Bra004836","Bra036823",NA,"Bra003062","Bra015594",NA,"Bra033832","Bra019572","Bra001009","Bra030622","Bra019908","Bra027792,Bra027793"
"7","Bra027452","Bra029966","Bra040955",NA,"Bra018595","Bra036593","Bra011016","Bra034404","Bra033422","Bra030843",NA,"Bra038165",NA,"Bra021579","Bra033958","Bra034873","Bra015798,Bra015799","Bra040403","Bra013053","Bra002191","Bra029045,Bra029046",NA,"Bra034254","Bra003055","Bra031389","Bra005598","Bra037651","Bra012696","Bra023619","Bra013087","Bra007695","Bra002456","Bra009351","Bra017081","Bra014766","Bra018897","Bra015237","Bra008627",NA,NA,NA,"Bra040932","Bra022147","Bra003504","Bra037476","Bra033981","Bra027302,Bra027306,Bra027307",NA,NA,"Bra020051","Bra019928",NA,"Bra003618","Bra032062","Bra035067","Bra021314","Bra038649,Bra038650","Bra023688"
"8","Bra011515","Bra014493","Bra012222,Bra012225",NA,"Bra009352","Bra002023","Bra001317",NA,"Bra003434","Bra018955",NA,"Bra012303",NA,"Bra040801","Bra010983","Bra014044","Bra004782","Bra039174,Bra039175","Bra001177","Bra027938",NA,NA,"Bra017077","Bra037844,tRNA-Met","Bra009712,Bra009713","Bra019940","Bra023575","Bra013774","Bra011921","Bra002584","Bra024282","Bra014504","Bra016809,Bra016810","Bra019154","Bra028710","Bra037167,Bra037168","Bra000240","Bra000538",NA,NA,NA,"Bra001415","Bra012812","Bra023435","Bra037669","Bra033249","Bra022598",NA,NA,"Bra002703",NA,NA,"Bra025844,Bra025845","Bra000472","Bra009609,Bra009610","Bra039925","Bra029362,Bra029363","Bra018039"
"9","Bra016007,Bra016008,Bra016009,Bra016010","Bra000302,Bra000303","Bra019384",NA,"Bra039975","Bra011500","Bra005329",NA,"Bra022938","Bra015520",NA,"Bra025271",NA,NA,"Bra012244","Bra030319","Bra007174","Bra006778","Bra014229",NA,NA,NA,"Bra011923","Bra001970","Bra003007,Bra003009","Bra033612,Bra033613","Bra012099,Bra012100","Bra023110","Bra004118","Bra023390","Bra023242","Bra016478","Bra019147","Bra017436","Bra008462,Bra008463,Bra008464","Bra001942","Bra024819,Bra024820,Bra024821","Bra031296",NA,NA,NA,"Bra025958","Bra016752","Bra003024","Bra005601","Bra031802","Bra021384",NA,NA,"Bra025461",NA,NA,"Bra018252","Bra028953","Bra013931","Bra007840","Bra001501","Bra022923"
"10","Bra019994","Bra021419,Bra021420","Bra027278",NA,"Bra017546","Bra014903","Bra013693",NA,"Bra018573","Bra003355",NA,"Bra006360",NA,NA,"Bra018006","Bra038081,Bra038082,Bra038083","Bra000384","Bra023704",NA,NA,NA,NA,"Bra003541,Bra003542,Bra003543,Bra003544","Bra036580","Bra021529,Bra021530","Bra012154","Bra035608","Bra015047","Bra007924","Bra005686","Bra037405","Bra022151,Bra022152","Bra012747","Bra031413","Bra023685","Bra028000","Bra030540","Bra037191",NA,NA,NA,"Bra033438","Bra019492,Bra019493","Bra012152","Bra013576","Bra014689","Bra005817",NA,NA,"Bra019792",NA,NA,"Bra014497","Bra022182",NA,"Bra024547","Bra015065","Bra004066"
