"","cutree(hc, k = 11)"
"Photo",1
"gs",1
"Fv.Fm.",1
"Starch",2
"NSC",3
"SM",4
"Bra000003",5
"Bra000024",5
"Bra000028",6
"Bra000031",7
"Bra000036",6
"Bra000065",7
"Bra000073",8
"Bra000079,Bra000080",8
"Bra000089,Bra000090",8
"Bra000111",8
"Bra000130",9
"Bra000144",7
"Bra000157",5
"Bra000159",10
"Bra000207",3
"Bra000240",7
"Bra000242",10
"Bra000263",5
"Bra000285",6
"Bra000293",7
"Bra000294",7
"Bra000302,Bra000303",6
"Bra000310",3
"Bra000321",7
"Bra000338",10
"Bra000382",7
"Bra000384",8
"Bra000391",6
"Bra000394",8
"Bra000408",8
"Bra000412",8
"Bra000440",10
"Bra000460",7
"Bra000461",8
"Bra000472",6
"Bra000483",4
"Bra000534",7
"Bra000536",5
"Bra000538",7
"Bra000567",7
"Bra000587",11
"Bra000600",3
"Bra000614",8
"Bra000616,Bra000617",10
"Bra000623",10
"Bra000654",5
"Bra000657",6
"Bra000659",10
"Bra000662",6
"Bra000663",5
"Bra000699",8
"Bra000711",10
"Bra000739",7
"Bra000741",7
"Bra000757",8
"Bra000760",5
"Bra000769",8
"Bra000777",8
"Bra000785",8
"Bra000787",8
"Bra000806",5
"Bra000821",10
"Bra000848",5
"Bra000849",5
"Bra000853",10
"Bra000863",7
"Bra000867",6
"Bra000875,Bra000876",7
"Bra000878",7
"Bra000884",8
"Bra000885",11
"Bra000901",7
"Bra000942",7
"Bra000952,Bra000953",4
"Bra000955",8
"Bra000961",7
"Bra000989",10
"Bra001003",8
"Bra001009",11
"Bra001020",10
"Bra001034",7
"Bra001037",11
"Bra001052",5
"Bra001090",5
"Bra001094",5
"Bra001104",10
"Bra001114",5
"Bra001116",10
"Bra001121",8
"Bra001127",10
"Bra001151",6
"Bra001154",10
"Bra001156",10
"Bra001177",6
"Bra001186",7
"Bra001200,Bra001201",6
"Bra001207",3
"Bra001213",5
"Bra001289",8
"Bra001291",6
"Bra001297",5
"Bra001306",10
"Bra001317",7
"Bra001346",8
"Bra001348,Bra001349",8
"Bra001358,Bra001359,tRNA-Tyr",7
"Bra001368",5
"Bra001372",8
"Bra001373",6
"Bra001401",5
"Bra001406",10
"Bra001415",4
"Bra001447",7
"Bra001450",10
"Bra001451",7
"Bra001461",7
"Bra001489",6
"Bra001501",7
"Bra001535",6
