"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra000003",10.9526,13.9582,17.1383,17.5966,23.3082,22.4463,18.9452,23.0563,17.2306,19.1326,13.8531,17.4812,13.0289,12.393,14.7811,16.5689,19.5996,20.9785,16.8754,17.2016,17.227,16.6449,13.5746,15.8278,11.1843,13.2961,14.6685,17.2716,19.0604,21.999,18.7504,18.4515,13.7716,13.8524,14.1085,14.0999,10.2204,9.52404,16.4201,19.3672,19.0299,20.3907,16.2393,18.7348,14.4184,12.6118,10.9848,9.77179
"Bra000054",0.924485,0.205018,0,0.616084,0.777055,0,0.349033,1.37677,1.89773,1.31826,0.804065,1.14858,1.43238,0.904362,0.222864,0.250391,0.217307,0.783873,0.591275,0.798958,0.664058,1.30519,0.972138,0.752885,0.811149,0,0,0,0,0,0.22202,0,0,0,0.556741,0.631625,0,0,0,0,0.605151,0,0,0.173115,0.359374,0.205833,0.203866,0
"Bra000063",2.52096,4.54909,4.80222,3.61205,4.42875,6.78962,3.17779,6.96718,3.89528,4.29612,1.37443,2.4552,3.23419,2.84358,5.77137,5.07748,7.78831,7.76753,2.01599,5.4024,3.1146,2.16676,1.62688,2.22322,0.527141,1.44652,3.98335,8.5228,3.43562,8.61201,2.60062,3.55068,4.81045,2.49497,2.88768,1.99834,0.796817,1.77465,6.89251,4.40895,5.69779,3.50502,1.80152,1.92192,2.61493,0.75119,1.91024,0.828811
"Bra000240",10.8049,13.727,10.4742,10.575,9.25471,10.1884,10.3691,10.5424,12.3903,9.97975,13.756,14.9547,14.1318,12.4118,9.1371,10.9649,9.71251,8.90652,7.97173,9.08289,10.81,11.7468,9.80799,13.0517,17.798,18.5435,11.3732,12.6722,11.5769,11.6526,10.2662,10.0815,12.3872,15.8056,13.3249,11.1982,13.3355,13.0468,13.1709,9.07341,12.3386,11.221,10.4579,11.4474,14.8164,17.222,13.2645,12.6946
"Bra000294",11.6065,9.81661,11.2002,10.4304,8.25267,7.8008,12.6045,9.96583,11.1602,9.92272,10.1962,9.30277,8.89792,9.07744,8.70289,9.23535,7.46817,9.10464,11.9942,10.2358,12.2267,10.2096,13.4893,12.8332,12.4365,10.2214,10.2795,12.2307,9.3037,9.94596,11.7839,10.2678,11.4372,14.4803,12.0795,12.6262,10.7603,12.8337,11.0382,10.2044,10.4611,10.7755,10.778,10.8453,11.9505,11.6632,12.1945,13.5586
"Bra000342",0.204381,0.48511,1.22312,2.14084,0.84571,0.907471,0.588521,0.761223,1.51271,1.51756,0.428709,1.16349,0.446999,1.12349,1.88354,2.78484,1.96154,2.08001,1.05276,1.28253,0.523047,1.07659,1.28669,2.22023,0.235286,0.105984,0.92744,2.13616,0.583315,0.28247,0.607782,0.568897,0.323823,0.461568,0.883342,0.364607,0.35389,0.405971,0.88859,0.585773,1.03696,0.889182,0.8557,1.22086,1.09426,0.556268,0.458439,0.831047
"Bra000384",34.3448,36.6365,39.9423,38.4891,31.701,25.1733,29.4593,30.515,24.4033,25.6511,29.6179,24.0212,29.3385,30.3722,37.6424,33.8278,29.2466,25.6937,30.9458,30.3014,28.3549,28.0127,29.4996,28.4929,40.5285,37.21,39.0061,38.9661,30.9267,29.807,32.573,34.568,30.4838,32.4193,29.7028,28.9248,33.1576,32.7318,42.697,36.755,32.327,33.611,29.9697,34.71,30.6469,28.6971,29.1856,33.3248
"Bra000460",158.565,146.258,103.463,107.085,93.9134,99.2917,94.262,105.703,120.897,113.664,111.581,109.277,181.259,159.231,135.706,159.451,111.602,119.434,134.994,108.351,131.733,109.517,110.465,99.9852,144.148,110.904,114.084,114.171,85.1351,93.5213,96.4996,85.2667,90.708,101.497,113.922,98.8834,149.367,132.656,150.091,136.218,98.6036,92.7543,113.443,84.6451,125.899,103.463,115.867,77.064
"Bra000472",88.5844,74.9914,62.1016,66.2699,72.3594,65.8853,63.1092,64.0977,87.9922,84.7952,82.7085,86.2473,78.5807,89.8168,60.8812,65.0534,80.151,71.9473,88.6632,71.9716,81.537,70.8874,83.7002,84.4454,74.6383,82.5591,58.6818,59.9675,59.1218,67.1892,56.3414,65.7589,56.6393,71.7569,78.4565,92.7783,76.6125,85.5122,70.9131,63.5581,61.1011,53.2199,58.6104,51.6028,70.3106,66.2597,72.6946,50.6519
"Bra000483",21.7001,26.3208,9.96491,9.76039,14.1715,16.7082,13.2227,23.1901,17.0954,22.5546,15.0344,17.3004,17.5171,23.4257,16.2933,18.0721,11.0752,12.0137,19.0736,8.81802,19.9709,18.053,16.441,12.1341,23.7451,23.382,22.624,25.4505,20.2577,43.302,25.4594,36.1098,31.1676,40.0746,18.0616,13.3483,19.0366,26.5103,18.1426,22.3588,17.665,15.91,16.6439,13.9051,25.4132,38.8946,12.6124,15.7553
"Bra000488,Bra000489",11.4652,11.3981,1.26228,3.12304,0.765597,0.538038,2.00701,1.65688,5.49596,5.23569,13.1199,20.3512,19.9303,20.8029,1.54479,3.58119,2.29745,1.96146,2.43587,2.27161,6.98986,9.50489,7.57743,7.53579,17.7342,11.2169,4.5307,3.77808,1.25154,1.96693,6.5986,8.11457,22.5195,19.2016,16.9493,25.6944,24.0374,30.1219,3.75913,3.91984,1.71562,1.73236,17.0761,15.9324,33.1622,29.9315,30.6261,21.9204
"Bra000827",7.66396,10.5013,9.48402,9.2523,9.44493,9.47269,9.72732,11.5434,7.18989,10.2234,13.5448,11.2459,6.19113,7.48193,5.80852,6.4146,9.5367,8.4612,11.0463,9.88028,8.19382,11.2945,9.61231,13.0144,11.57,12.0038,7.84698,8.53277,13.9178,12.1146,8.84402,12.3445,8.42676,8.20695,14.1602,10.4463,7.47741,7.44241,4.4662,5.97296,9.05033,11.8369,7.56974,14.4944,9.88386,11.3545,12.0578,21.9034
"Bra000863",71.9803,65.6685,62.5418,71.8709,72.4425,76.6335,68.1391,68.0873,71.308,71.4183,74.7476,70.2952,62.7956,65.5024,58.5087,56.0689,55.8015,56.4808,43.6089,49.7339,79.1447,82.3832,74.2701,76.195,108.608,74.3075,56.2244,70.7372,77.3769,77.5149,74.4542,83.7813,92.7602,88.6891,82.7851,95.1036,74.8887,78.0917,81.9596,84.4136,70.7087,73.283,61.9472,71.2216,81.8941,87.6032,96.2777,87.9666
"Bra000864",0.823046,1.75802,3.44176,2.42445,1.59928,0.721683,0.784706,1.28331,0.68478,0.963965,0.781732,0.55842,0.596972,0.928188,3.05278,1.02783,3.3683,1.85602,1.19436,1.52047,1.40015,1.60942,2.37561,1.5405,0.711403,0.57964,0.611504,1.17642,1.15858,0.742307,0.90475,0.694669,0.853497,1.80731,1.05558,1.01381,1.18725,0.4782,1.41929,1.38383,1.95774,1.27451,1.38148,1.77013,1.53831,1.25675,0.306212,0.297382
