"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","Bra036823","Bra024300","Bra016320","Bra007460","Bra030262","Bra002191","Bra008842","Bra006551,Bra006552","Bra022979","Bra003196,Bra003197","Bra013094","Bra003034","Bra014730","Bra024478","Bra022241,Bra022242","Bra038127","Bra019686,Bra019688,Bra019689,Bra019690","Bra040819","Bra025162","Bra032518,Bra032519","Bra025671","Bra037045"
"2","Bra018111","Bra028357","Bra005924","Bra021792","Bra017697","Bra023392","Bra026039","Bra012083","Bra004057,Bra004058,Bra004059,Bra004060","Bra013225","Bra030103","Bra005417","Bra032925","Bra029019","Bra003055","Bra017823","Bra001865","Bra028520","Bra000054","Bra028417","Bra037398","Bra017758,Bra017759"
"3","Bra014351","Bra001848","Bra030031","Bra002352","Bra000827","Bra023982","Bra023164","Bra012252","Bra014340",NA,"Bra023739","Bra014870","Bra015038","Bra007924","Bra022813","Bra008785","Bra028539","Bra000342","Bra020188","Bra027468","Bra003617","Bra001951"
"4","Bra014529","Bra010126",NA,"Bra014802","Bra009596","Bra014326","Bra008476,Bra008477","Bra024615","Bra027635",NA,"Bra016870","Bra011950","Bra027258","Bra021567","Bra036642","Bra028603","Bra032050","Bra031158","Bra019443","Bra039175","Bra006555","Bra032191"
"5","Bra010733","Bra005338",NA,"Bra033670","Bra039986,Bra039987","Bra000483","Bra009433","Bra025223","Bra036904",NA,"Bra007462","Bra009609,Bra009610","Bra025882,Bra025883,Bra025884,Bra025886","Bra009410","Bra030285","Bra007174","Bra004508","Bra027057","Bra010085","Bra022923","Bra030908","Bra033478"
"6","Bra018740","Bra039578",NA,"Bra012462","Bra005729","Bra031084,Bra031085","Bra000294","Bra037181,Bra037182","Bra007738",NA,"Bra012206","Bra005536","Bra037777,tRNA-Val","Bra019795,Bra019796","Bra038089","Bra037554","Bra012651","Bra031191,Bra031192","Bra018039","Bra018695","Bra003482","Bra031802"
"7","Bra019194","Bra037748",NA,"Bra001536","Bra025064","Bra005235","Bra000901","Bra000240","Bra011047",NA,"Bra015257,Bra015258","Bra005792","Bra021851","Bra004878","Bra018306","Bra005290","Bra038686","Bra002470","Bra030622","Bra020949","Bra018857","Bra037991"
"8","Bra011455","Bra009586",NA,"Bra024062,Bra024063",NA,"Bra012146","Bra036409","Bra024776,Bra024777","Bra037432",NA,"Bra006233",NA,"Bra004528","Bra001196","Bra020393","Bra007239","Bra025271","Bra037739","Bra018922","Bra012364","Bra040416","Bra005976"
"9","Bra009680","Bra011714",NA,"Bra028963",NA,"Bra022147","Bra024366,Bra024367","Bra003655","Bra033564,Bra033565",NA,"Bra014469",NA,"Bra010303","Bra013764",NA,"Bra015070","Bra016572,Bra016573","Bra029472,Bra029473","Bra016190","Bra027695","Bra020157","Bra018593"
"10","Bra000883","Bra029108",NA,"Bra006538",NA,"Bra013132","Bra004853","Bra002288","Bra006182",NA,"Bra011116",NA,"Bra019784","Bra040264",NA,"Bra024186,Bra024187","Bra033990","Bra030820","Bra010566","Bra004066","Bra038835","Bra025725"
