"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra000003",10.9526,13.9582,17.1383,17.5966,23.3082,22.4463,18.9452,23.0563,17.2306,19.1326,13.8531,17.4812,13.0289,12.393,14.7811,16.5689,19.5996,20.9785,16.8754,17.2016,17.227,16.6449,13.5746,15.8278,11.1843,13.2961,14.6685,17.2716,19.0604,21.999,18.7504,18.4515,13.7716,13.8524,14.1085,14.0999,10.2204,9.52404,16.4201,19.3672,19.0299,20.3907,16.2393,18.7348,14.4184,12.6118,10.9848,9.77179
"Bra000005",20.6816,22.9537,18.0114,17.5278,16.2975,15.7348,17.3254,16.8235,20.6181,20.5266,21.4282,23.6887,21.9394,19.9164,17.6132,21.788,16.002,15.6644,16.0038,17.8254,18.5719,21.1069,18.224,18.913,21.9548,23.9695,16.678,18.7017,16.7186,14.8426,17.5226,16.6748,19.7168,19.811,18.9706,17.428,21.096,21.9303,21.8164,22.827,14.334,15.0847,17.0781,17.6052,21.5542,20.0361,18.2855,16.0131
"Bra000007",6.76799,7.26223,2.09723,2.07894,0.978889,1.01441,2.21349,3.50094,2.18688,2.3045,3.67245,5.16409,11.3059,8.9696,1.41173,3.47099,2.87526,2.18247,4.29293,4.35408,3.44092,2.40063,5.50131,2.33087,5.64818,6.9458,3.04162,1.79801,0.746863,2.5555,1.2659,1.43566,1.30373,0,1.31619,1.83083,5.66987,6.00395,2.00114,4.03457,0.959935,0.71539,2.48286,2.6845,1.97221,0.748585,3.17722,3.88925
"Bra000009",88.2762,114.965,185.793,152.982,234.299,218.82,186.274,239.931,160.418,152.482,84.268,83.8957,82.8007,88.9065,185.669,152.104,206.427,202.797,159.378,190.942,159.287,168.431,84.0631,95.0459,141.471,89.9538,198.997,226.369,219.751,340.039,227.961,260.732,173.62,194.442,94.4779,112.223,81.3887,78.0513,180.026,142.626,219.177,203.607,189.76,189.446,147.397,153.93,86.8377,120.417
"Bra000012,Bra000013",2.6641,2.60107,3.25478,2.73044,3.9169,4.24843,4.1168,3.94744,2.96584,2.50384,2.56717,2.88094,2.48323,2.91657,2.83191,3.32175,4.68817,4.48409,4.90224,3.28438,3.6012,3.55354,2.88369,3.36144,3.48053,3.05266,2.77548,2.84444,3.88262,3.24229,4.39303,4.22104,3.18409,2.68097,3.87662,2.26937,3.80706,3.28672,2.40086,2.508,4.87084,3.88255,5.00508,4.59176,3.00991,2.76727,3.51663,2.96916
"Bra000013",0.419745,0.694375,3.01557,3.10136,3.80293,5.26519,5.68931,7.28471,2.39855,2.14293,0.454348,0.834768,0.304054,1.17419,3.5064,3.90823,6.15355,5.982,5.63756,7.24896,2.98024,3.9964,1.19902,1.41421,0.621211,1.16202,2.31973,1.54901,6.75128,7.31747,7.59383,10.323,3.77524,3.93224,0.997241,1.07027,0.896536,0.480282,2.5007,2.84368,6.0027,7.01539,5.59369,7.65286,2.67876,3.18597,1.52681,3.70717
"Bra000015",3.58103,2.96476,3.47202,4.46936,5.22552,5.63927,4.92764,4.64966,6.34112,4.96524,5.28997,5.39394,4.30257,2.87839,6.20322,5.14803,5.89698,6.64266,5.56221,4.51713,2.98564,2.24484,3.92295,4.04882,2.4806,2.89753,5.23968,3.08771,7.53026,6.21651,6.61594,3.92119,4.59366,3.76914,4.13627,3.84046,4.16709,2.64895,5.51579,2.97946,5.80674,6.39573,5.87793,4.57513,6.78813,2.96905,5.16543,4.62924
"Bra000018,Bra000019",6.72418,7.2044,5.38943,3.66804,6.35382,4.96488,6.85946,5.96072,3.77077,2.40886,2.76445,3.86852,4.74555,5.77483,3.71056,6.13103,6.64888,9.23311,13.4752,11.0467,4.47927,3.80449,5.29444,3.47579,7.77055,4.68597,6.07897,5.06307,6.8022,4.78857,8.84414,6.62557,2.66468,3.16241,3.21714,4.1571,2.9504,3.05342,3.66766,5.89559,6.06137,6.69977,8.45215,5.96687,4.65981,4.4257,5.12291,4.21582
"Bra000022",0.850055,1.41459,0.794477,0.227073,0,0,0.210475,0.194965,0.700744,0.219809,0.73614,1.87793,3.27917,2.89779,0,0.554888,0,0,0,0.219165,0,0.217503,1.19033,0.880027,1.76549,0.576818,0.289937,0,0,0.208387,0.439635,0.9007,0.235663,0,1.14604,0.935678,2.79785,1.31735,0.259012,0.529544,0,0.203699,0.613485,0.188368,0,0,0,0.205961
"Bra000023",5.32861,4.85871,4.80479,4.08345,3.15345,2.30691,3.24235,4.2074,5.10104,4.65891,5.86781,4.58028,4.86217,4.83536,3.64956,4.06147,4.09535,4.08908,5.14808,4.23886,3.83771,5.45141,6.73615,5.42345,2.77692,4.846,4.01955,5.28811,4.1818,2.90414,4.4535,2.6712,5.05859,3.86287,6.79632,5.15867,5.72767,5.43997,3.03483,3.45098,4.00626,3.7609,3.86995,3.60757,4.35211,4.12823,5.8961,5.15727
