"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra000003",10.9526,13.9582,17.1383,17.5966,23.3082,22.4463,18.9452,23.0563,17.2306,19.1326,13.8531,17.4812,13.0289,12.393,14.7811,16.5689,19.5996,20.9785,16.8754,17.2016,17.227,16.6449,13.5746,15.8278,11.1843,13.2961,14.6685,17.2716,19.0604,21.999,18.7504,18.4515,13.7716,13.8524,14.1085,14.0999,10.2204,9.52404,16.4201,19.3672,19.0299,20.3907,16.2393,18.7348,14.4184,12.6118,10.9848,9.77179
"Bra000007",6.76799,7.26223,2.09723,2.07894,0.978889,1.01441,2.21349,3.50094,2.18688,2.3045,3.67245,5.16409,11.3059,8.9696,1.41173,3.47099,2.87526,2.18247,4.29293,4.35408,3.44092,2.40063,5.50131,2.33087,5.64818,6.9458,3.04162,1.79801,0.746863,2.5555,1.2659,1.43566,1.30373,0,1.31619,1.83083,5.66987,6.00395,2.00114,4.03457,0.959935,0.71539,2.48286,2.6845,1.97221,0.748585,3.17722,3.88925
"Bra000022",0.850055,1.41459,0.794477,0.227073,0,0,0.210475,0.194965,0.700744,0.219809,0.73614,1.87793,3.27917,2.89779,0,0.554888,0,0,0,0.219165,0,0.217503,1.19033,0.880027,1.76549,0.576818,0.289937,0,0,0.208387,0.439635,0.9007,0.235663,0,1.14604,0.935678,2.79785,1.31735,0.259012,0.529544,0,0.203699,0.613485,0.188368,0,0,0,0.205961
"Bra000024",18.6528,20.0735,17.9917,17.1535,17.6189,16.9818,19.1439,21.3146,15.7043,18.8419,14.3128,16.9481,11.4649,16.2176,13.0908,17.9201,15.8219,17.4377,17.7768,20.3739,11.1875,13.7309,11.9638,11.8462,17.879,17.1081,17.1896,19.1613,17.6661,17.8627,19.7388,27.9769,13.9842,20.2606,14.9747,19.0603,15.6379,16.8467,15.4495,18.721,17.3571,22.3326,18.2451,22.1928,15.4709,16.5361,15.0133,15.8407
"Bra000028",63.4891,78.1167,36.0744,45.1815,57.1665,65.1073,55.4046,66.9115,63.6817,66.7638,54.4412,69.4394,54.9768,64.0477,38.8194,47.4813,45.5372,57.2087,59.2011,59.6466,64.5,70.0464,58.0848,59.4258,63.5051,46.9194,33.523,46.4983,40.403,59.2992,53.4102,56.218,56.5822,70.1883,60.4863,69.2267,58.6018,54.2,51.7454,39.7543,51.2532,44.1084,43.0662,47.8761,59.6209,47.3931,55.6196,43.7208
"Bra000038",10.6827,10.7515,2.12988,1.88362,4.44062,4.18243,7.70822,6.72053,3.20985,2.31212,2.28674,4.13477,6.12923,7.37482,2.40596,3.1353,4.94286,8.40388,12.5296,10.7602,3.1656,2.47192,5.07471,2.88048,3.79288,6.29674,1.41343,2.37632,3.1469,2.18572,5.08225,3.81876,3.1468,3.21384,2.81329,2.631,6.09714,4.39564,2.48008,1.32557,3.47206,2.71708,7.38917,5.6046,2.19159,1.39663,3.63336,2.27195
"Bra000044",0.840422,0.613986,0.869616,1.21766,0.228014,0.164054,0.228976,0.193379,0.063263,0.031207,0.401054,0.450294,1.04867,1.07771,1.47341,1.27682,0.425786,0.541298,0.189511,0.349282,0.138968,0.153038,0.52513,0.501222,0.733372,0.67471,1.14098,0.698826,0.336441,0.381912,0.302199,0.131309,0.127507,0,0.216502,0.475825,1.0582,0.887289,1.4338,1.20718,0.363739,0.333949,0.483264,0.219082,0.0892833,0.0978854,0.201061,0.147905
"Bra000054",0.924485,0.205018,0,0.616084,0.777055,0,0.349033,1.37677,1.89773,1.31826,0.804065,1.14858,1.43238,0.904362,0.222864,0.250391,0.217307,0.783873,0.591275,0.798958,0.664058,1.30519,0.972138,0.752885,0.811149,0,0,0,0,0,0.22202,0,0,0,0.556741,0.631625,0,0,0,0,0.605151,0,0,0.173115,0.359374,0.205833,0.203866,0
"Bra000063",2.52096,4.54909,4.80222,3.61205,4.42875,6.78962,3.17779,6.96718,3.89528,4.29612,1.37443,2.4552,3.23419,2.84358,5.77137,5.07748,7.78831,7.76753,2.01599,5.4024,3.1146,2.16676,1.62688,2.22322,0.527141,1.44652,3.98335,8.5228,3.43562,8.61201,2.60062,3.55068,4.81045,2.49497,2.88768,1.99834,0.796817,1.77465,6.89251,4.40895,5.69779,3.50502,1.80152,1.92192,2.61493,0.75119,1.91024,0.828811
"Bra000073",14.3642,12.5084,10.8873,12.1902,8.0979,11.9359,10.0235,10.2221,6.61151,6.12454,9.06409,9.64998,14.5952,16.0172,21,22.1895,13.7482,11.25,8.40335,11.3594,8.05916,7.59752,10.2971,8.15054,9.08921,7.37293,14.8641,10.0316,10.1065,9.30126,8.74435,6.27698,4.00192,6.51588,8.52525,6.24879,11.4857,15.7403,14.1247,18.461,11.9338,8.40152,10.1584,6.83018,9.31054,3.89743,9.70415,6.07557
"Bra000122",0.476882,0.902,4.25717,3.68215,3.17362,2.43388,6.07014,4.96037,4.48848,6.00683,13.2108,14.8081,3.90787,1.3611,3.16604,5.12868,5.11102,4.39384,3.12331,3.67946,1.68588,5.64151,5.45019,6.07404,2.25916,0.195057,2.45695,2.24923,2.66224,2.58943,7.07208,2.56159,2.24423,3.53236,7.58725,5.84242,2.99409,6.7369,6.11464,3.30504,7.20721,9.72166,9.19217,6.93343,7.50087,5.20728,13.3255,11.8596
