"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra002322",6.8874156022544,6.94940653211357,5.74549013125844,6.00427440833756,6.63536697042205,6.96933471290934,6.98637680168483,7.05561866358341,6.03346264757397,6.22334531579905,5.71798891603211,5.93853986452739,7.04619636199244,6.95965425281808,6.66736705214847,7.01439993012814,7.30900333608691,7.64460619621121,7.87873760090321,7.87917274294457,6.99199794190481,7.04117726029757,6.70118861538851,6.7118527827843,6.45551463517891,6.48665324058971,6.10858927205591,5.62939159408092,6.85473127397676,6.508740801233,6.90388184573618,6.82228401601747,5.87665200105574,6.14343015502766,5.99905743196053,6.15275738065008,6.84503835396662,6.78332568481352,5.95214715961952,6.22681291251577,7.10128238066271,6.89684096644956,7.28337547402586,7.0189345559805,6.69058471109034,6.4158820176232,6.34114250596009,5.74343148880524
"Bra007657",9.59835403844918,9.53155691275751,9.85946490172253,9.48118590361638,9.64349186327874,9.37784170697111,9.97597690221903,9.7323370447384,9.85246864808089,9.55683938792324,9.84098558121809,9.69480534060796,9.09493275371565,9.19524915780218,8.85825147509103,8.88453992387439,9.11581097543965,8.91721989472428,9.05754774828548,9.16640916107345,9.62649206861619,9.62763237103803,9.79541468431076,9.61683367901126,9.79293829713613,9.89161208823298,10.0901521263208,10.0692886384628,9.91189976308334,9.69679543547801,10.0963066624502,10.0454730047521,10.1577132474897,9.96093590508773,10.0520381502365,9.74227743198614,9.7461498224497,9.60435121909926,9.49552528743248,9.30637389769865,9.51414790960836,9.64127145162012,9.72235330951804,9.66225891598703,9.79580427942282,9.91534162830179,10.0918716992251,9.96127314518585
"Bra008876",8.1882228715012,8.25196046823647,8.24802242446897,8.04316949486411,7.9830505970868,8.01504701366787,8.00552911484798,7.99076203449486,7.8253340787222,7.78574669889791,7.42591242568508,7.42992555810679,7.78969013221632,7.99045572860979,7.90725723400642,7.95149454625829,7.76638976712071,7.72689250847678,7.64813464368244,7.79637062798126,7.66845246539657,7.66411301703097,7.46660265078649,7.58901438522824,8.48474637805088,8.39406820399767,8.34269251599086,8.52159258830078,8.21622687958557,8.10609701538939,8.1134661005144,8.30785653408878,8.09045650772022,7.96114289011427,7.81789821307615,7.70344682070445,8.16098067558037,8.10343993914049,8.39471133978675,8.18193241839617,8.07344001934389,8.15612353693193,7.99899088774064,8.2251399408598,7.91266782662604,7.99322146736894,7.80556332248059,7.94342909516001
"Bra011565",5.68056347329547,5.32744665543176,5.28101568277577,4.93302491445627,5.45247683049119,4.98746640159375,5.91889185242964,5.76371431743561,5.86391120146223,5.72876948931099,5.62793946004701,5.19900874880895,5.22728669703741,5.26910423185584,4.7973035633979,4.59579603680166,5.28230635324986,5.02831276816574,5.54153652184946,5.54172855164063,5.82700092685437,5.69028857708194,5.68842656946867,5.55449369205794,5.67685693748589,5.72693472995702,5.338064230925,5.23194306774204,5.58707390204867,5.00350779282879,5.92767605148216,5.83430417440096,6.16725956611383,5.89795675397123,5.8591620290709,5.75188678397394,5.70946158716286,5.45443913468656,4.90971551037565,4.75941153256458,5.45838200415601,5.34960235722969,5.72036329495909,5.81072071623617,5.99161707781145,5.9166390579159,5.89427210318217,6.02724474801596
"Bra012054",6.90827251629142,6.76222920627035,6.69513083232666,6.77232117285472,6.21521069309572,6.56907330369125,6.51868619861699,6.47013172130825,6.68997002548213,6.53193347818504,6.66923941125265,6.68382275476395,6.56128183446475,6.69645293117802,6.46414055444799,6.44405576625524,6.33860090770598,6.12748471080208,6.10120042433828,6.09582317468877,6.48792361930375,6.45663368562185,6.71284336132586,6.70769043069859,6.76242854971787,6.81590839887873,6.58835485377923,6.75128964031577,6.57806166222744,6.5068653087511,6.55546341226139,6.66566279626865,6.55506762419719,6.75151728027833,6.70411114053241,6.83794324189103,6.76248170331897,6.89298595421527,6.60950824826248,6.80051167862158,6.48214967146927,6.605618780489,6.29427151929173,6.3909307388328,6.538715075367,6.53777440086912,6.75987487109545,6.56437664416121
"Bra017342",7.85511763948769,7.71137788942511,7.86784087963692,7.54389021978923,7.82497146545623,7.77145645550637,7.97530918485593,7.71866301242293,7.91602871841884,7.6469834461661,7.75577555489953,7.57233642822866,7.3117119917772,7.38607803400871,7.17867480917774,6.96387866922505,7.36971075095539,6.97984243756774,7.13817962860065,7.0363714543074,7.66197044428796,7.64487293141922,7.68436291527162,7.52540335288586,8.20428746784494,8.17672169288105,8.15425104378082,8.32910116615699,8.11486671728773,8.15193997415627,8.16540449524997,8.28608179010086,8.1476831995672,8.18872235372371,8.12199448447358,7.94802842130835,8.0319410002806,7.98991669925069,7.84791550219443,7.68908945124838,7.66669979174933,7.81257523546895,7.66759413423031,7.61673261488183,7.81494769948146,7.82638323522316,7.96393067395669,8.17413173220193
"Bra017499",7.43792680778819,7.29906145144627,7.50474749649957,7.11505405730211,7.47476049957678,7.32699566752143,7.47694057501922,7.2244937471074,7.2997849810188,7.12959213276393,7.34062457558623,7.14529023931297,6.99984219659987,6.96131077223942,6.87641871717565,6.36201919533428,6.75822321472672,6.72857360255936,6.38776748368296,6.42368909154606,7.15591110589448,7.13566824886182,7.24184018356467,7.01875655947608,7.7860539425058,7.69936423212253,7.6844681178123,7.80042107861809,7.71019341632539,7.48821773739561,7.58177302616342,7.79181407116183,7.61429758663537,7.47863211711005,7.57789706142886,7.33809454689366,7.46255952937906,7.46800488496294,7.33957390519377,7.265127424577,7.1170924088134,7.18853939515837,7.00283751359991,7.11759115823832,7.27056631741578,7.30024272369368,7.42614732125665,7.71509027739172
"Bra029292,Bra029293",6.69549279034366,6.86927920734301,5.64422547243903,5.78333616281481,5.75274859140713,5.20341261077665,5.97262373380516,6.16286862323288,6.53138769918408,6.76117887599877,6.64870989814978,6.69087799146557,6.67683155602301,6.78468718728524,5.62850240835972,5.9131766493697,5.67156229566727,5.88663793542661,6.40766036184294,6.45268932278922,6.43772544410883,6.56753632125455,6.80214150651544,6.89616284321722,5.76183841319502,6.73469607372993,5.53610575663335,5.56503046558161,5.41804823567326,5.30929626151795,5.78953886148537,5.72560211456761,6.37446049900078,5.87624434353609,6.60179901073735,6.40347906577278,6.6056484090584,6.66073755730505,5.23185861025935,5.30387570725712,5.46817925368667,5.47232529665646,5.78751866004507,5.98989286382966,6.16027684859824,6.03640222725307,6.52592478544246,6.60967814559789
"Bra030732",4.13055203029693,4.3151169483734,4.39310038758688,4.48002594579373,4.54979852699309,4.73250800058618,4.82831677013098,4.67384470806572,4.52945241891207,4.59710205612441,4.75996539113267,4.5749976145589,4.01066348768734,4.28497304573912,3.84561047959084,3.88197778913563,4.26012353904757,4.35904319149657,4.38988339902723,4.54778294810711,4.48155082279333,4.51497436659958,4.59768610217562,4.56691254785694,4.95375412640721,4.59580200304798,4.40113209920472,4.48038146373759,4.60022811840425,4.57597785020815,4.92966319426887,4.80000424530429,4.78747948089794,4.56215692864839,4.79621356561772,4.78959885005233,4.42135123383618,4.36996195418631,4.27648922137429,4.34913877707708,4.60966041811521,4.56741158814907,4.556361969566,4.74109480397622,4.58867266566151,4.52656966049778,4.6464103830397,4.75481803739659
"Bra033859,Bra033860",7.95957891126889,7.68539356952643,7.69245509647097,7.61490856903041,7.5248785983708,7.367143879211,7.91988230228365,7.70055069041459,7.92280439507536,7.70953878439941,7.89363523874967,7.80464732969411,7.49379141697198,7.73268978854823,7.12768486257948,7.12289010052196,7.15981080284938,7.14405656963043,7.35159299620928,7.34854227357066,7.59050471477471,7.57047811081824,7.77730792533386,7.66532881029555,7.97729709833865,7.96763551685769,7.99605537848809,7.77505712791373,7.74534491164144,7.34081147912207,7.97487916031931,7.81614527306641,8.04315855603336,7.82260906863336,8.11309619406969,7.77495832829804,7.99896832968138,7.84696962255325,7.64954360991173,7.52046153707211,7.6447071288465,7.61704864643107,7.86173209626145,7.7150078835802,7.90781602804859,7.90323113089,8.14121307548434,7.98127614492447
