"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"13","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","-1","-1","-1","-1","-1","-1","0","-1","-1","-1"
"14","(10,14.7]","(0.274,0.406]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","-1","-1","-1","0","1","-1","-1","-1"
"15","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","-1","-1","-1","0","1","-1","-1","-1"
"16","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","0","-1","-1","-1","0","1","-1","-1","-1"
"17","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","0","-1","-1","0","1","-1","-1","-1"
"18","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","1","0","-1","-1","1","1","-1","-1","-1"
"19","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","0","-1","-1","1","1","-1","-1","-1"
"20","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","0","-1","-1","1","1","0","-1","0"
"21","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","1","0","0","0","1","1","0","-1","0"
"22","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","1","1","1","0","0","1","1","0","-1","0"
"23","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","0","0","1","1","0","-1","0"
"24","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","0","1","1","1","1","-1","1"
"1","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"2","(10,14.7]","(0.274,0.406]","(78.3,97.4]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","-1","-1","0","-1","-1","0","0","-1","-1","-1"
"3","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","-1","0","0","-1","-1","0","0","-1","-1","-1"
"4","(10,14.7]","(0.274,0.406]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","0","-1","-1","0","0","-1","-1","-1"
