"","cutree(hc, k = 25)"
"Photo",1
"gs",1
"Fv.Fm.",1
"Starch",2
"NSC",3
"SM",4
"Bra000003",5
"Bra000024",6
"Bra000028",7
"Bra000031",8
"Bra000036",9
"Bra000065",10
"Bra000073",11
"Bra000079,Bra000080",11
"Bra000089,Bra000090",12
"Bra000111",12
"Bra000130",13
"Bra000144",8
"Bra000157",14
"Bra000159",15
"Bra000207",3
"Bra000240",10
"Bra000242",15
"Bra000263",14
"Bra000285",9
"Bra000293",8
"Bra000294",16
"Bra000302,Bra000303",17
"Bra000310",3
"Bra000321",8
"Bra000338",15
"Bra000382",8
"Bra000384",11
"Bra000391",7
"Bra000394",18
"Bra000408",18
"Bra000412",18
"Bra000440",15
"Bra000460",8
"Bra000461",18
"Bra000472",7
"Bra000483",4
"Bra000534",8
"Bra000536",14
"Bra000538",8
"Bra000567",10
"Bra000587",19
"Bra000600",3
"Bra000614",12
"Bra000616,Bra000617",15
"Bra000623",15
"Bra000654",14
"Bra000657",17
"Bra000659",15
"Bra000662",7
"Bra000663",14
"Bra000699",12
"Bra000711",15
"Bra000739",8
"Bra000741",8
"Bra000757",18
"Bra000760",20
"Bra000769",11
"Bra000777",12
"Bra000785",12
"Bra000787",12
"Bra000806",20
"Bra000821",15
"Bra000848",20
"Bra000849",5
"Bra000853",15
"Bra000863",10
"Bra000867",17
"Bra000875,Bra000876",8
"Bra000878",8
"Bra000884",18
"Bra000885",21
"Bra000901",16
"Bra000942",10
"Bra000952,Bra000953",4
"Bra000955",18
"Bra000961",8
"Bra000989",15
"Bra001003",12
"Bra001009",19
"Bra001020",15
"Bra001034",8
"Bra001037",21
"Bra001052",14
"Bra001090",20
"Bra001094",14
"Bra001104",15
"Bra001114",14
"Bra001116",15
"Bra001121",18
"Bra001127",15
"Bra001151",7
"Bra001154",15
"Bra001156",15
"Bra001177",7
"Bra001186",10
"Bra001200,Bra001201",7
"Bra001207",3
"Bra001213",14
"Bra001289",12
"Bra001291",17
"Bra001297",14
"Bra001306",15
"Bra001317",10
"Bra001346",12
"Bra001348,Bra001349",12
"Bra001358,Bra001359,tRNA-Tyr",10
"Bra001368",20
"Bra001372",12
"Bra001373",7
"Bra001401",14
"Bra001406",15
"Bra001415",4
"Bra001447",10
"Bra001450",15
"Bra001451",10
"Bra001461",10
"Bra001489",9
"Bra001501",10
"Bra001535",17
