"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra011348","Bra011348","PF05641,PF03735,PF01535","PTHR10483","","","","AT4G32450.1","","Pentatricopeptide repeat (PPR) superfamily protein",1
"Bra004235","Bra004235","PF12056","","","","","AT1G67570.1","","Protein of unknown function (DUF3537)",1
"Bra014253","Bra014253","PF00226,PF04146","PTHR12357","","","","AT5G61020.1","ECT3","evolutionarily conserved C-terminal region 3",1
"Bra028323","Bra028323","PF00782","PTHR10159","","","","AT3G23610.1","DSPTP1","dual specificity protein phosphatase 1",1
"Bra004387","Bra004387","PF04667","","","","","AT1G69510.1","","cAMP-regulated phosphoprotein 19-related protein",1
"Bra032483","Bra032483","","","","","","","","",1
"Bra006654","Bra006654","PF01300","PTHR17490","","","","AT5G60590.2","","DHBP synthase RibB-like alpha/beta domain",1
"Bra024075","Bra024075","PF01370,PF04321,PF02719,PF01073,PF07993","PTHR10366","KOG1371","5.1.3.6","K08679","AT4G30440.1","GAE1","UDP-D-glucuronate 4-epimerase 1",1
"Bra038658","Bra038658","PF01485","PTHR11685","","","","AT5G63730.1","ARI14,ATARI14","IBR domain-containing protein",1
"Bra027147","Bra027147","","","","","","AT5G08139.1","","RING/U-box superfamily protein",1
"Bra022618","Bra022618","PF00224,PF02887","PTHR11817","KOG2323","2.7.1.40","K00873","AT5G52920.1","PKP-BETA1,PKP1,PKP2","plastidic pyruvate kinase beta subunit 1",1
"Bra035477","Bra035477","PF01554","PTHR11206","KOG1347","","","AT1G33110.1","","MATE efflux family protein",1
"Bra022938","Bra022938","PF00076","PTHR10432","KOG4205","","K14411","AT2G33410.1","","RNA-binding (RRM/RBD/RNP motifs) family protein",1
"Bra039048","Bra039048","PF01992","PTHR11028","KOG2957","3.6.3.14","K02146","AT3G28710.1","","ATPase, V0/A0 complex, subunit C/D",1
"Bra014348","Bra014348","PF00249","","","","","AT2G01060.1","","myb-like HTH transcriptional regulator family protein",1
"Bra009015","Bra009015","PF00097","PTHR22766","","","","AT5G10650.1","","RING/U-box superfamily protein",1
"Bra000621","Bra000621","","","","","","AT5G50350.1","","",1
"Bra010566","Bra010566","PF03765,PF00650","PTHR10174","KOG1470","","","AT4G36640.1","","Sec14p-like phosphatidylinositol transfer family protein",1
"Bra007075","Bra007075","","","","","","AT3G54500.1","","",1
"Bra032589","Bra032589","PF01501","","","","","AT1G02720.1","GATL5","galacturonosyltransferase 5",1
"Bra004809","Bra004809","PF00856","PTHR22884","KOG1081","","","AT2G44150.1","ASHH3,SDG7","histone-lysine N-methyltransferase ASHH3",1
"Bra008749","Bra008749","PF00145","PTHR23068","","","","AT5G14620.1","DMT7,DRM2","domains rearranged methyltransferase 2",1
"Bra034231","Bra034231","PF00646","PTHR23125","","","","AT4G05460.1","","RNI-like superfamily protein",1
"Bra035161","Bra035161","PF05903","PTHR12378","KOG0324","","","AT1G80690.1","","PPPDE putative thiol peptidase family protein",1
"Bra032166","Bra032166","PF00503","PTHR10218","KOG0082","","","AT2G23460.1","ATXLG1,XLG1","extra-large G-protein 1",1
"Bra025469","Bra025469","","","","","","AT5G41730.1","","Protein kinase family protein",1
"Bra031115","Bra031115","PF07714,PF00069,PF01636","PTHR23258","KOG1187","","","AT2G20300.1","ALE2","Protein kinase superfamily protein",1
"Bra028655","Bra028655","PF03126,PF02213","PTHR14445","","","","AT5G08430.1","","SWIB/MDM2 domain;Plus-3;GYF",1
"Bra037292","Bra037292","","","","","","AT1G49150.1","","",1
"Bra007978","Bra007978","PF08263,PF00560","PTHR23258","KOG0472","","","AT1G71400.1","AtRLP12,RLP12","receptor like protein 12",1
"Bra023736","Bra023736","PF00069","PTHR22985","","","","AT3G23310.1","","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein",1
"Bra024941","Bra024941","PF00892","","","","","AT5G47470.1","","Nodulin MtN21 /EamA-like transporter family protein",1
"Bra035536","Bra035536","","","","","","","","",1
"Bra025105","Bra025105","","","","","","AT5G44780.1","","",1
"Bra030622","Bra030622","PF00560,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G05700.1","","Leucine-rich repeat transmembrane protein kinase protein",1
"Bra000662","Bra000662","PF00646","PTHR23125","","","","AT4G08980.1","FBW2","F-BOX WITH WD-40 2",1
"Bra009649","Bra009649","","","","","","","","",1
"Bra018039","Bra018039","PF03083","PTHR10791","KOG1623","","","AT3G48740.1","","Nodulin MtN3 family protein",1
"Bra021314","Bra021314","","","","","","","","",1
"Bra007802","Bra007802","PF00917","PTHR10420","KOG1987","","","AT2G25320.1","","TRAF-like family protein",1
"Bra000054","Bra000054","","","","","","AT1G26610.1","","C2H2-like zinc finger protein",1
"Bra034589","Bra034589","","PTHR23283:SF37","","","","AT1G27320.1","AHK3,HK3","histidine kinase 3",1
