"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra031705","Bra031705","PF00289,PF02786,PF08443,PF02222,PF07478,PF02785","PTHR18866","","6.3.4.14,6.4.1.2","K01961","AT5G35360.1","CAC2","acetyl Co-enzyme a carboxylase biotin carboxylase subunit",1
"Bra005476","Bra005476","PF00226","PTHR11821","","","","AT2G33735.1","","Chaperone DnaJ-domain superfamily protein",1
"Bra037080","Bra037080","PF01777","PTHR10497","KOG3418","","K02901","AT4G15000.1","","Ribosomal L27e protein family",1
"Bra016153","Bra016153","PF01207","PTHR11082","KOG2335","","","AT3G63510.1","","FMN-linked oxidoreductases superfamily protein",1
"Bra021826","Bra021826","PF00231","PTHR11693","KOG1531","3.6.3.14","K02136","AT2G33040.1","ATP3","gamma subunit of Mt ATP synthase",1
"Bra029966","Bra029966","PF01063","PTHR11825","KOG0975","2.6.1.42","K00826","AT3G49680.1","ATBCAT-3,BCAT3","branched-chain aminotransferase 3",1
"Bra014493","Bra014493","PF00254","PTHR10516","KOG0552","","","AT3G60370.1","","FKBP-like peptidyl-prolyl cis-trans isomerase family protein",1
"Bra010339","Bra010339","PF00575","PTHR10724","","","","AT4G29060.1","emb2726","elongation factor Ts family protein",1
"Bra000711","Bra000711","PF01849,PF00627","PTHR21713","KOG2239","","","AT4G10480.2","","Nascent polypeptide-associated complex (NAC), alpha subunit family protein",1
"Bra006515","Bra006515","PF04117","PTHR11266","KOG1944","","K13348","AT5G19750.1","","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein",1
"Bra007343","Bra007343","PF03016","PTHR11062","KOG1021","","","AT3G57630.1","","exostosin family protein",1
"U2","NA*",NA,NA,NA,NA,NA,NA,NA,NA,1
"tRNA-Tyr","NA*",NA,NA,NA,NA,NA,NA,NA,NA,1
"tRNA-Gln","NA*",NA,NA,NA,NA,NA,NA,NA,NA,1
"tRNA-Glu","NA*",NA,NA,NA,NA,NA,NA,NA,NA,1
"tRNA-Phe","NA*",NA,NA,NA,NA,NA,NA,NA,NA,1
"Bra014436","Bra014436","PF00291","PTHR10314","KOG1252","2.5.1.47,4.4.1.9","K13034","AT3G61440.1","ARATH;BSAS3;1,ATCYSC1,CYSC1","cysteine synthase C1",2
"Bra010126","Bra010126","PF00300","PTHR23029","KOG0235","","","AT5G62840.1","","Phosphoglycerate mutase family protein",2
"Bra016502","Bra016502","","PTHR22572","","","","AT1G19580.1","GAMMA CA1","gamma carbonic anhydrase 1",2
"Bra040955","Bra040955","","","","","","AT1G47420.1","SDH5","succinate dehydrogenase 5",2
"Bra019384","Bra019384","PF03650","PTHR14154","KOG1589","","","AT4G22310.1","","Uncharacterised protein family (UPF0041)",2
"Bra027278","Bra027278","PF11282","","","","","AT3G15110.1","","",2
"Bra033706","Bra033706","PF08240,PF00107","PTHR11695","KOG0022","1.1.1.1,1.1.1.284","K00121","AT5G43940.1","ADH2,ATGSNOR1,GSNOR,HOT5,PAR2","GroES-like zinc-binding dehydrogenase family protein",2
"Bra039708","Bra039708","PF00291","PTHR10314","KOG1252","2.5.1.47","K01738","AT4G14880.1","ATCYS-3A,CYTACS1,OASA1,OLD3","O-acetylserine (thiol) lyase (OAS-TL) isoform A1",2
