"","V1","V9"
"1","Bra002594","highly ABA-induced PP2C gene 1"
"2","Bra003077","regulatory components of ABA receptor 3"
"3","Bra003253","ABA-responsive element binding protein 3"
"4","Bra004532","ABA-inducible BHLH-type transcription factor"
"5","Bra007274","ABA-responsive element binding protein 3"
"6","Bra007276","ABA-responsive element binding protein 3"
"7","Bra011921","para-aminobenzoate (PABA) synthase family protein"
"8","Bra012127","zeaxanthin epoxidase (ZEP) (ABA1)"
"9","Bra015579","highly ABA-induced PP2C gene 2"
"10","Bra022634","regulatory components of ABA receptor 3"
"11","Bra026041","molybdenum cofactor sulfurase (LOS5) (ABA3)"
"12","Bra026502","GRAM domain-containing protein / ABA-responsive protein-related"
"13","Bra029093","regulatory components of ABA receptor 3"
"14","Bra031691","RESPONSE TO ABA AND SALT 1"
"15","Bra033267","regulatory component of ABA receptor 1"
"16","Bra037130","zeaxanthin epoxidase (ZEP) (ABA1)"
"17","Bra039002","DWD (DDB1-binding WD40 protein) hypersensitive to ABA 1"
"18","Bra039279","ABA-inducible BHLH-type transcription factor"
"19","Bra009562","LHY/CCA1-like 1"
"20","Bra000613","nitrate transmembrane transporters"
"21","Bra002930","co-factor for nitrate, reductase and xanthine dehydrogenase 5"
"22","Bra003670","nitrate reductase 1"
"23","Bra003979","nitrate transporter 1.7"
"24","Bra007886","nitrate transporter 1.7"
"25","Bra008333","nitrate reductase 1"
"26","Bra010165","nitrate transporter 1.5"
"27","Bra016259","nitrate transporter 1.7"
"28","Bra016789","nitrate transporter 1.1"
"29","Bra018655","nitrate transporter 2:1"
"30","Bra018656","nitrate transporter 2:1"
"31","Bra019744","nitrate transporter 1.1"
"32","Bra022872","cofactor of nitrate reductase and xanthine dehydrogenase 2"
"33","Bra023475","high affinity nitrate transporter 2.7"
"34","Bra035556","co-factor for nitrate, reductase and xanthine dehydrogenase 5"
"35","Bra037625","high affinity nitrate transporter 2.6"
"36","Bra037934","nitrate transmembrane transporters"
"37","Bra038280","nitrate excretion transporter1"
"38","Bra012083","PS II oxygen-evolving complex 1"
"39","Bra037164","PS II oxygen-evolving complex 1"
"40","Bra000485","Photosystem II reaction center PsbP family protein"
"41","Bra018907","Photosystem II 5 kD protein"
"42","Bra029036","Photosystem II 5 kD protein"
"43","Bra041122","Photosystem I, PsaA/PsaB protein"
"44","Bra000567","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"45","Bra000708","light harvesting complex of photosystem II 5"
"46","Bra001809","photosystem II subunit T"
"47","Bra003198","photosystem I light harvesting complex gene 1"
"48","Bra003451","photosystem I light harvesting complex gene 2"
"49","Bra003624","photosystem II subunit R"
"50","Bra003987","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"51","Bra004252","photosystem II BY"
"52","Bra004406","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"53","Bra004504","photosystem I P subunit"
"54","Bra004989","light harvesting complex photosystem II"
"55","Bra005423","photosystem II light harvesting complex gene B1B2"
"56","Bra008961","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"57","Bra011047","photosystem II reaction center PSB28 protein"
"58","Bra011057","photosystem I subunit E-2"
"59","Bra013183","photosystem II light harvesting complex gene 2.1"
"60","Bra013517","photosystem II subunit QA"
"61","Bra014048","photosystem I light harvesting complex gene 5"
"62","Bra014317","photosystem I subunit H2"
"63","Bra014433","photosystem I light harvesting complex gene 2"
"64","Bra014681","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"65","Bra014908","photosystem I subunit F"
"66","Bra015520","photosystem II subunit P-1"
"67","Bra015530","photosystem II reaction center W"
"68","Bra018305","photosystem II reaction center W"
"69","Bra018629","photosystem I subunit O"
"70","Bra018955","photosystem I subunit H2"
"71","Bra027083","photosystem I light harvesting complex gene 3"
"72","Bra028906","light harvesting complex photosystem II"
"73","Bra030537","photosystem II family protein"
"74","Bra030843","photosystem I subunit G"
"75","Bra031534","photosystem II subunit P-1"
"76","Bra031937","photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)"
"77","Bra032672","photosystem I subunit l"
"78","Bra033412","photosystem II family protein"
"79","Bra034911","photosystem I subunit l"
"80","Bra036240","photosystem I subunit D-1"
"81","Bra037761","photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)"
"82","Bra038011","photosystem I subunit G"
"83","Bra038418","photosystem I subunit F"
"84","Bra038584","photosystem I light harvesting complex gene 3"
"85","Bra038863","photosystem II subunit O-2"
"86","Bra039070","photosystem II light harvesting complex gene 2.3"
"87","Bra040977","photosystem II reaction center protein B"
"88","Bra041107","photosystem II reaction center protein E"
"89","Bra041123","photosystem II reaction center protein C"
"90","Bra002151","Aquaporin-like superfamily protein"
"91","Bra001032","plastid transcription factor 1"
"92","Bra001218","plastid developmental protein DAG, putative"
"93","Bra002113","plastid-specific 50S ribosomal protein 6"
"94","Bra003069","plastid division1"
