"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Bra000003","","","","","","AT2G37480.1","",""
"Bra000024","PF11891","","","","","AT2G37860.3","LCD1","Protein of unknown function (DUF3411)"
"Bra000028","","","","","","AT2G37920.1","emb1513","copper ion transmembrane transporters"
"Bra000031","PF04832","PTHR11220","","","","AT2G37970.1","SOUL-1","SOUL heme-binding family protein"
"Bra000036","PF02338","PTHR13312","","","","AT2G38025.1","","Cysteine proteinases superfamily protein"
"Bra000065","PF04535,PF01284","","","","","AT2G38480.1","","Uncharacterised protein family (UPF0497)"
"Bra000073","","","","","","AT3G62210.1","EDA32","Putative endonuclease or glycosyl hydrolase"
"Bra000111","PF00230","PTHR19139","KOG0223","","K09872","AT2G39010.1","PIP2;6,PIP2E","plasma membrane intrinsic protein 2E"
"Bra000130","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT2G39360.1","","Protein kinase superfamily protein"
"Bra000144","PF06309,PF00004","","KOG0651","","","AT2G39730.1","RCA","rubisco activase"
"Bra000157","PF01398","PTHR10540","KOG2975","","K03249","AT2G39990.1","AteIF3f,EIF2,eIF3F","eukaryotic translation initiation factor 2"
"Bra000159","PF00466,PF00428","PTHR21141","KOG0815","","K02941","AT2G40010.1","","Ribosomal protein L10 family protein"
"Bra000207","PF00097","PTHR22763","KOG1493","6.3.2.19","K11982","AT2G40830.1","RHC1A","RING-H2 finger C1A"
"Bra000240","PF03385","","","","","AT2G41770.1","","Protein of unknown function (DUF288)"
"Bra000242","PF00333,PF03719","PTHR13718","KOG0877","","K02981","AT1G58983.1","","Ribosomal protein S5 family protein"
"Bra000263","","PTHR23241","","","","AT2G42530.1","COR15B","cold regulated 15b"
"Bra000285","PF00297","PTHR11229","KOG3141","","K02906","AT2G43030.1","","Ribosomal protein L3 family protein"
"Bra000293","PF01417","PTHR12276","KOG2056","","","AT2G43160.1","","ENTH/VHS family protein"
"Bra000294","PF00463","PTHR21631","KOG1260","","","AT2G43180.1","","Phosphoenolpyruvate carboxylase family protein"
"Bra000310","PF00187,PF00182","PTHR22595","KOG4742","","","AT2G43570.1","CHI","chitinase, putative"
"Bra000321","PF03405","","","1.14.19.2","K03921","AT2G43710.1","FAB2,SSI2","Plant stearoyl-acyl-carrier-protein desaturase family protein"
"Bra000338","PF01113,PF05173","PTHR20836","","1.3.1.26","K00215","AT2G44040.1","","Dihydrodipicolinate reductase, bacterial/plant"
"Bra000382","PF04043,PF01095","","","3.1.1.11","K01051","AT2G45220.1","","Plant invertase/pectin methylesterase inhibitor superfamily"
"Bra000384","PF00275","PTHR21090","KOG0692","2.5.1.19","K00800","AT2G45300.1","","RNA 3\'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta"
"Bra000391","PF00067","PTHR19383","KOG0157","","","AT2G45510.1","CYP704A2","cytochrome P450, family 704, subfamily A, polypeptide 2"
"Bra000394","PF01553","PTHR23063","KOG4666","2.3.1.23,2.3.1.67","K13510","AT2G45670.1","","calcineurin B subunit-related"
"Bra000408","PF10185","","","","","AT2G46000.1","",""
"Bra000412","PF04564","PTHR22849","","","","AT1G01680.1","ATPUB54,PUB54","plant U-box 54"
"Bra000440","PF00069,PF07714","PTHR23258","","","","AT2G47115.1","",""
"Bra000460","PF02798,PF00043","PTHR11260","KOG0867","2.5.1.18","K00799","AT2G47730.1","ATGSTF5,ATGSTF8,GST6,GSTF8","glutathione S-transferase phi 8"
"Bra000461","PF05208,PF00232","PTHR10353","KOG0626","","","AT4G22100.1","BGLU3","beta glucosidase 2"
"Bra000472","PF00169","PTHR22903","","","","AT2G29700.1","ATPH1,PH1","pleckstrin homologue 1"
"Bra000483","PF00125,PF00808","PTHR23428","KOG1744","","K11252","AT2G28720.1","","Histone superfamily protein"
"Bra000534","PF00682","PTHR10277","KOG2368","4.1.3.4","K01640","AT2G26800.1","","Aldolase superfamily protein"
"Bra000536","PF00332","","","","","AT2G26600.1","","Glycosyl hydrolase superfamily protein"
"Bra000538","PF04690","","","","","AT2G26580.1","YAB5","plant-specific transcription factor YABBY family protein"
"Bra000567","PF01789","","","","","AT3G63540.1","","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"Bra000587","PF05278","PTHR21704","","","","AT2G20950.1","","Arabidopsis phospholipase-like protein (PEARLI 4) family"
"Bra000600","PF05833,PF05670,PF00098,PF11923","PTHR15239","KOG2030","","","AT5G49930.1","emb1441","zinc knuckle (CCHC-type) family protein"
"Bra000614","PF01135,PF06325","PTHR11579","KOG1661","2.1.1.77","K00573","AT5G50240.1","PIMT2","protein-l-isoaspartate methyltransferase 2"
"Bra000623","PF00406,PF05191","PTHR23359","KOG3078","2.7.4.3","K00939","AT5G50370.1","","Adenylate kinase family protein"
"Bra000654","PF01190","","","","","AT4G08685.1","SAH7","Pollen Ole e 1 allergen and extensin family protein"
"Bra000657","PF08263,PF00560,PF00069,PF07714","PTHR23258","KOG1187","","","AT4G08850.1","","Leucine-rich repeat receptor-like protein kinase family protein"
"Bra000659","PF00491","PTHR11358","KOG2964","3.5.3.1","K01476","AT4G08900.1","","arginase"
"Bra000662","PF00646","PTHR23125","","","","AT4G08980.1","FBW2","F-BOX WITH WD-40 2"
"Bra000663","PF00141","","","1.11.1.11","K00434","AT4G09010.1","APX4,TL29","ascorbate peroxidase 4"
"Bra000699","PF00034","PTHR11961","KOG3453","","K08738","AT4G10040.1","CYTC-2","cytochrome c-2"
"Bra000711","PF01849,PF00627","PTHR21713","KOG2239","","","AT4G10480.2","","Nascent polypeptide-associated complex (NAC), alpha subunit family protein"
"Bra000739","PF02453","PTHR10994","KOG1792","","","AT4G11220.1","BTI2,RTNLB2","VIRB2-interacting protein 2"
"Bra000741","PF04969,PF05002","PTHR22904","KOG1309","","K12795","AT4G11260.1","ATSGT1B,EDM1,ETA3,RPR1,SGT1B","phosphatase-related"
"Bra000757","","","","","","AT4G11960.1","PGRL1B","PGR5-like B"
"Bra000760","PF01758","PTHR10361","KOG2718","","","AT4G12030.2","BASS5,BAT5","bile acid transporter 5"
"Bra000769","PF00067","PTHR19383","KOG0156","","","AT4G12320.1","CYP706A6","cytochrome P450, family 706, subfamily A, polypeptide 6"
"Bra000777","PF00234","","","","","AT4G12520.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"Bra000785","PF04755","","","","","AT4G04020.1","FIB","fibrillin"
"Bra000787","PF08059,PF00789","PTHR23333","KOG2086","","","AT4G04210.1","PUX4","plant UBX domain containing protein 4"
"Bra000806","PF01641","PTHR10173","KOG0856","","","AT4G04830.1","ATMSRB5,MSRB5","methionine sulfoxide reductase B5"
"Bra000821","PF00085","PTHR10438","KOG0910","","","AT4G03520.1","ATHM2","Thioredoxin superfamily protein"
"Bra000848","PF03171","PTHR10209","KOG0143","","","AT4G03070.1","AOP,AOP1,AOP1.1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"Bra000849","PF00400","PTHR19847","KOG0266","","K11801","AT4G03020.1","","transducin family protein / WD-40 repeat family protein"
"Bra000853","PF00009,PF03144,PF03143","PTHR23115","KOG0460","3.6.5.3","K02358","AT4G02930.1","","GTP binding Elongation factor Tu family protein"
"Bra000863","PF01926","PTHR11089","KOG2484","","","AT4G02790.1","","GTP-binding family protein"
"Bra000867","PF05564","","","","","AT1G56220.3","","Dormancy/auxin associated family protein"
"Bra000878","PF05496,PF00004","PTHR23074","KOG0737","","","AT4G02480.1","","AAA-type ATPase family protein"
"Bra000884","PF03242","","","","","AT4G02380.1","AtLEA5,SAG21","senescence-associated gene 21"
"Bra000885","PF04398","","","","","AT4G02370.1","","Protein of unknown function, DUF538"
"Bra000901","","","","","","AT4G01995.1","",""
"Bra000942","PF00201","PTHR11926","","","","AT4G01070.1","GT72B1,UGT72B1","UDP-Glycosyltransferase superfamily protein"
"Bra000955","PF00069,PF07714","PTHR11295","KOG0660","2.7.11.24","K04371","AT4G01370.1","ATMPK4,MPK4","MAP kinase 4"
"Bra000961","PF00069,PF07714","PTHR11295","KOG0658","2.7.1.-","K00924","AT4G00720.1","ASKTHETA,ATSK32,SK32","shaggy-like protein kinase 32"
"Bra000989","PF00572","PTHR11545","KOG3203","","K02871","AT3G01790.1","","Ribosomal protein L13 family protein"
"Bra001003","PF00892,PF08449,PF03151","PTHR11132","KOG1441","","","AT3G01550.1","ATPPT2,PPT2","phosphoenolpyruvate (pep)/phosphate translocator 2"
"Bra001009","PF01145","PTHR10264","KOG2620","","","AT3G01290.1","","SPFH/Band 7/PHB domain-containing membrane-associated protein family"
"Bra001020","PF01053,PF01212","PTHR11808","KOG0053","2.5.1.48","K01739","AT3G01120.1","ATCYS1,CGS,CGS1,MTO1","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein"
"Bra001034","","","","","","AT3G02170.1","LNG2","longifolia2"
"Bra001037","PF03214","","","2.4.1.-,5.4.99.-","K13379","AT3G02230.1","ATRGP1,RGP1","reversibly glycosylated polypeptide 1"
"Bra001052","PF01251","PTHR11278","KOG3320","","","AT3G02560.1","","Ribosomal protein S7e family protein"
"Bra001090","PF08267,PF01717","","KOG2263","2.1.1.14","K00549","AT3G03780.1","ATMS2,MS2","methionine synthase 2"
"Bra001094","PF00118","PTHR11353","KOG0362","","","AT3G03960.1","","TCP-1/cpn60 chaperonin family protein"
"Bra001104","PF10440,PF05033,PF00856,PF00238","PTHR11761","KOG1082","","","AT3G04380.1","SDG31,SUVR4","SET-domain containing protein lysine methyltransferase family protein"
"Bra001114","PF00579","PTHR10055","KOG2145","6.1.1.2","K01867","AT3G04600.1","","Nucleotidylyl transferase superfamily protein"
"Bra001116","","PTHR23023","","","","AT3G04650.1","","FAD/NAD(P)-binding oxidoreductase family protein"
"Bra001121","PF00967","PTHR22595","","","","AT3G04720.1","HEL,PR-4,PR4","pathogenesis-related 4"
"Bra001127","PF01015","PTHR11830","KOG1628","","K02984","AT4G34670.1","","Ribosomal protein S3Ae"
"Bra001151","PF01267","PTHR10653","KOG0836","","K10364","AT3G05520.2","","Subunits of heterodimeric actin filament capping protein Capz superfamily"
"Bra001154","PF01776","PTHR10064","KOG3434","","","AT3G05560.1","","Ribosomal L22e protein family"
"Bra001156","PF00828","PTHR10934","KOG1714","","K02883","AT3G05590.1","RPL18","ribosomal protein L18"
"Bra001177","PF00501","PTHR11968","KOG1256","6.2.1.3","K01897","AT3G05970.1","ATLACS6,LACS6","long-chain acyl-CoA synthetase 6"
"Bra001186","PF00917,PF00651","PTHR23230","KOG1987","","","AT3G06190.1","ATBPM2,BPM2","BTB-POZ and MATH domain 2"
"Bra001207","PF08240,PF00107","PTHR11695","KOG1198","","","AT4G13010.1","","Oxidoreductase, zinc-binding dehydrogenase family protein"
"Bra001213","PF01779","PTHR12884","","","K02905","AT3G06680.1","","Ribosomal L29e protein family"
"Bra001289","PF00291,PF00585","PTHR10314","KOG1250","4.3.1.19","K01754","AT3G10050.1","OMR1","L-O-methylthreonine resistant 1"
"Bra001291","","","","","","AT3G10020.1","",""
"Bra001297","PF02359,PF02933,PF00004,PF05496,PF07724,PF07728","PTHR23077","KOG0730","","K13525","AT3G09840.1","ATCDC48,CDC48,CDC48A","cell division cycle 48"
"Bra001306","PF00831","PTHR13872","KOG3436","","K02918","AT3G09500.1","","Ribosomal L29 family protein"
"Bra001317","PF01237","PTHR10972","KOG2209","","","AT3G09300.1","ORP3B","OSBP(oxysterol binding protein)-related protein 3B"
"Bra001346","PF00085","PTHR10438","KOG0907","","","AT3G08710.1","ATH9,TH9,TRX H9","thioredoxin H-type 9"
"Bra001368","PF03460,PF01077","","KOG0560","1.8.7.1","K00392","AT5G04590.1","SIR","sulfite reductase"
"Bra001372","","","","","","AT3G10650.1","",""
"Bra001373","PF00069,PF07714,PF00036","PTHR22982","KOG0032","2.7.11.1","K13412","AT3G10660.1","ATCPK2,CPK2","calmodulin-domain protein kinase cdpk isoform 2"
"Bra001401","PF12353,PF00076","PTHR10352","KOG0122","","K03248","AT3G11400.1","ATEIF3G1,EIF3G1","eukaryotic translation initiation factor 3G1"
"Bra001406","PF00411","PTHR11759","KOG0407","","K02955","AT3G11510.1","","Ribosomal protein S11 family protein"
"Bra001415","PF00578,PF08534,PF10417","PTHR10681","KOG0852","1.11.1.15","K03386","AT3G11630.1","","Thioredoxin superfamily protein"
"Bra001447","PF00763,PF02882","PTHR10025","KOG0089","","","AT3G12290.1","","Amino acid dehydrogenase family protein"
"Bra001450","PF01849","PTHR21713","KOG2239","","K03626","AT3G12390.1","","Nascent polypeptide-associated complex (NAC), alpha subunit family protein"
"Bra001451","PF05743,PF09454","PTHR23306","KOG2391","","K12183","AT3G12400.1","ATELC,ELC","Ubiquitin-conjugating enzyme/RWD-like protein"
"Bra001461","PF01754,PF01428","PTHR10634","KOG3173","","","AT3G12630.1","","A20/AN1-like zinc finger family protein"
"Bra001489","PF00338","PTHR11700","KOG0900","","K02946","AT3G13120.1","","Ribosomal protein S10p/S20e family protein"
"Bra001501","PF00400","PTHR22847","KOG4532","","","AT3G13340.1","","Transducin/WD40 repeat-like superfamily protein"
"Bra001535","","PTHR10098","","","","AT3G14110.1","FLU","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra001539","PF00226","PTHR11821","","","","AT3G14200.1","","Chaperone DnaJ-domain superfamily protein"
"Bra001550","PF01070,PF03060,PF00478","PTHR10578","KOG0538","1.1.3.15","K11517","AT3G14415.1","","Aldolase-type TIM barrel family protein"
"Bra001579","PF03634","","","","","AT3G15030.1","MEE35,TCP4","TCP family transcription factor 4"
"Bra001587","PF01649","","","","","AT3G15190.1","","chloroplast 30S ribosomal protein S20, putative"
"Bra001618","","PTHR23160","KOG0978","","","AT3G16000.1","MFP1","MAR binding filament-like protein 1"
"Bra001626","PF00230","PTHR19139","KOG0223","","K09873","AT3G16240.1","AQP1,ATTIP2;1,DELTA-TIP,DELTA-TIP1,TIP2;1","delta tonoplast integral protein"
"Bra001662","PF00069,PF07714","PTHR23258","KOG1187","","","AT3G17410.1","","Protein kinase superfamily protein"
"Bra001715","PF00696","PTHR21499","","2.7.4.22","K09903","AT3G18680.1","","Amino acid kinase family protein"
"Bra001738","PF00675,PF05193,PF08367","PTHR11851","KOG2019","","K06972","AT3G19170.1","ATPREP1,ATZNMP,PREP1","presequence protease 1"
"Bra001761","PF01063","PTHR11825","KOG0975","","","AT3G19710.1","BCAT4","branched-chain aminotransferase4"
"Bra001783","PF12056","","","","","AT3G20300.1","","Protein of unknown function (DUF3537)"
"Bra001788","PF01042","PTHR11803","KOG2317","","","AT3G20390.1","","endoribonuclease L-PSP family protein"
"Bra001816","PF01532","PTHR11742","KOG2204","3.2.1.113","K01230","AT3G21160.1","MANIA,MNS2","alpha-mannosidase 2"
"Bra001848","","","","","","AT3G21865.1","PEX22","peroxin 22"
"Bra001911","PF00935","PTHR10369","KOG3464","","K02929","AT3G23390.1","","Zinc-binding ribosomal protein family protein"
"Bra001925","PF00320","PTHR22949:SF3","","","","AT3G24050.1","GATA1","GATA transcription factor 1"
"Bra001934","PF00118","PTHR11353","KOG0356","","K04077","AT3G23990.1","HSP60,HSP60-3B","heat shock protein 60"
"Bra001942","PF02934,PF02637","PTHR11659","KOG2438","6.3.5.6,6.3.5.7","K02434","AT1G48520.1","GATB","GLU-ADT subunit B"
"Bra001950","PF08263","PTHR23258","","","","AT3G24480.1","","Leucine-rich repeat (LRR) family protein"
"Bra001970","PF01602,PF08752","PTHR10261","KOG1078","","","AT4G34450.1","","coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative"
"Bra002023","PF00180","PTHR11835","KOG0784","1.1.1.41","K00030","AT2G17130.1","IDH-II,IDH2","isocitrate dehydrogenase subunit 2"
"Bra002038","PF00481","PTHR13832","KOG0698","3.1.3.16","K14497","AT3G11410.1","AHG3,ATPP2CA,PP2CA","protein phosphatase 2CA"
"Bra002045","PF00411","PTHR11759","KOG0407","","K02955","AT3G11510.1","","Ribosomal protein S11 family protein"
"Bra002080","","","","","","AT2G17710.1","",""
"Bra002081","","PTHR10869","","","","AT2G17720.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"Bra002086","PF00026","PTHR13683","KOG1339","","","AT2G17760.1","","Eukaryotic aspartyl protease family protein"
"Bra002101","PF01025","PTHR21237","KOG3003","","","AT5G17710.2","EMB1241","Co-chaperone GrpE family protein"
"Bra002106","PF00641","PTHR23238:SF5","","","","AT5G17790.1","VAR3","zinc finger (Ran-binding) family protein"
"Bra002113","","","","","","AT5G17870.1","PSRP6","plastid-specific 50S ribosomal protein 6"
"Bra002137","PF00226","PTHR11821","KOG0715","","","AT5G18140.1","","Chaperone DnaJ-domain superfamily protein"
"Bra002156","PF05093,PF00380","PTHR21569","KOG1753","","","AT5G18400.2","","Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis"
"Bra002191","PF01156","PTHR12304","KOG2938","","","AT5G18860.1","","inosine-uridine preferring nucleoside hydrolase family protein"
"Bra002220","","","","","","AT5G19190.1","",""
"Bra002221","PF00483","PTHR22572","KOG1322","2.7.7.27","K00975","AT5G19220.1","ADG2,APL1","ADP glucose pyrophosphorylase large subunit 1"
"Bra002227","","PTHR13824","KOG1909","","K14319","AT5G19320.1","RANGAP2","RAN GTPase activating protein 2"
"Bra002237","PF00069,PF07714,PF00036","PTHR22982","KOG0032","","","AT5G19450.1","CDPK19,CPK8","calcium-dependent protein kinase 19"
"Bra002255","PF02516","PTHR13872","KOG2292","2.4.1.119","K07151","AT5G19690.1","STT3A","staurosporin and temperature sensitive 3-like A"
"Bra002258","PF04117","PTHR11266","KOG1944","","K13348","AT5G19750.1","","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein"
"Bra002261","PF00091,PF03953","PTHR11588","KOG1376","","K07374","AT5G19780.1","TUA5","tubulin alpha-5"
"Bra002273","PF05669","PTHR13186","KOG4086","","","AT5G19910.1","MED31","SOH1 family protein"
"Bra002296","PF00023,PF01529","PTHR22883","KOG0509","","","AT5G20350.1","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain"
"Bra002318","PF04145","PTHR12483","KOG3386","","","AT5G20650.1","COPT5","copper transporter 5"
"Bra002322","PF04570","","","","","AT5G20700.1","","Protein of unknown function (DUF581)"
"Bra002326","PF00166","PTHR10772","KOG1641","","","AT5G20720.1","ATCPN21,CHCPN10,CPN10,CPN20,CPN21","chaperonin 20"
"Bra002354","PF08263,PF00560","PTHR23258","","","","AT5G21090.1","","Leucine-rich repeat (LRR) family protein"
"Bra002373","PF02325","","","","K02221","AT5G21920.1","ATYLMG2,YLMG2","YGGT family protein"
"Bra002382","PF00515,PF00097","PTHR22764","KOG1493","","","AT5G21990.1","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra002388","PF11250","","","","","AT5G22090.1","","Protein of unknown function (DUF3049)"
"Bra002412","","","","","","AT5G22450.1","",""
"Bra002422","PF07876","","","","","AT5G22580.1","","Stress responsive A/B Barrel Domain"
"Bra002456","PF00097,PF05762,PF00092","PTHR11439","KOG1493","","","AT5G60710.1","","Zinc finger (C3HC4-type RING finger) family protein"
"Bra002468","PF04551","","","1.17.7.1","K03526","AT5G60600.1","CLB4,CSB3,GCPE,HDS,ISPG","4-hydroxy-3-methylbut-2-enyl diphosphate synthase"
"Bra002483","PF00009,PF03144,PF03143","PTHR23115","KOG0052","3.6.5.3","K03231","AT1G07920.1","","GTP binding Elongation factor Tu family protein"
"Bra002485","PF08246,PF00112","PTHR12411","KOG1543","3.4.22.16","K01366","AT5G60360.1","AALP,ALP,SAG2","aleurain-like protease"
"Bra002523","PF00125","PTHR23430","KOG1756","","K11251","AT5G59870.1","HTA6","histone H2A 6"
"Bra002561","PF04140","PTHR12714","KOG2628","","","AT5G59500.1","","protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferases"
"Bra002584","","","","","","AT5G59080.1","",""
"Bra002596","PF00083,PF07690,PF05631","PTHR11600","KOG0254","","","AT5G59250.1","","Major facilitator superfamily protein"
"Bra002617","PF11493","","","","","AT3G47070.1","",""
"Bra002619","PF01255","PTHR10291","KOG1602","","","AT5G58770.1","","Undecaprenyl pyrophosphate synthetase family protein"
"Bra002630","PF10262","PTHR13544","KOG3286","","","AT5G58640.1","","Selenoprotein, Rdx type"
"Bra002665","PF10674","","","","","AT5G58250.1","",""
"Bra002677","PF05182","PTHR13484","KOG1049","","","AT5G58040.1","ATFIP1[V],ATFIPS5,FIP1[V],FIPS5","homolog of yeast FIP1 [V]"
"Bra002684","","PTHR12651","KOG3129","","K06693","AT5G57950.1","","26S proteasome regulatory subunit, putative"
"Bra002697","","","","","","AT5G57780.1","",""
"Bra002703","PF02861","PTHR11638","KOG1051","","","AT5G57710.1","","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein"
"Bra002710","PF01261","","","5.3.1.5","K01805","AT5G57655.2","","xylose isomerase family protein"
"Bra002804","PF00235","PTHR11604","KOG1755","","","AT5G56600.1","PFN3,PRF3","profilin 3"
"Bra002861","","PTHR21716","KOG2365","","","AT5G55960.1","",""
"Bra002886","","","","","","AT5G55620.1","",""
"Bra002900","PF02466","PTHR14110","KOG1652","","","AT5G55510.1","","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein"
"Bra002914","","","","","","AT5G55410.2","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"Bra002944","PF01253","PTHR10388","KOG1770","","","AT5G54940.1","","Translation initiation factor SUI1 family protein"
"Bra002975","","","","","","AT5G54585.1","",""
"Bra003015","PF00635","PTHR10809","KOG0439","","","AT5G54110.1","ATMAMI,MAMI","membrane-associated mannitol-induced"
"Bra003024","PF03226","PTHR13847","KOG3399","","","AT5G53940.1","","Yippee family putative zinc-binding protein"
"Bra003034","","","","","","AT5G53800.1","",""
"Bra003053","PF00805","","","","","AT5G53490.1","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra003055","PF00069,PF04755","","KOG0594","","","AT5G53450.1","ORG1","OBP3-responsive gene 1"
"Bra003059","PF04969","PTHR12356","KOG2265","","","AT5G53400.1","BOB1","HSP20-like chaperones superfamily protein"
"Bra003062","PF04043,PF01095","PTHR22931:SF5","","","","AT5G53370.1","ATPMEPCRF,PMEPCRF","pectin methylesterase PCR fragment F"
