"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra036823","Bra036823","PF09202,PF01163,PF06293","PTHR10593","KOG2268","2.7.11.1","K07179","AT3G51270.1","","protein serine/threonine kinases;ATP binding;catalytics",1
"Bra018111","Bra018111","PF04130","PTHR19302","KOG2000","","","AT3G43610.1","","Spc97 / Spc98 family of spindle pole body (SBP) component",1
"Bra014351","Bra014351","PF03874","PTHR21297","KOG2351","","","AT4G15950.1","NRPD4,NRPE4,RDM2","RNA polymerase II, Rpb4, core protein",1
"Bra014529","Bra014529","PF00291","PTHR10314","KOG1252","2.5.1.47","K01738","AT3G59760.3","ATCS-C,OASC","O-acetylserine (thiol) lyase isoform C",1
"Bra010733","Bra010733","PF00331","","","","","AT4G38650.1","","Glycosyl hydrolase family 10 protein",1
"Bra018740","Bra018740","PF01209,PF03848,PF05891,PF05401,PF08241,PF08242,PF01739,PF05175,PF02353,PF01135,PF07021","PTHR10108","KOG1269","","","AT1G48600.2","AtPMEAMT,PMEAMT","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",1
"Bra019194","Bra019194","PF04535","PTHR11615","","","","AT4G25040.1","","Uncharacterised protein family (UPF0497)",1
"Bra011455","Bra011455","PF02902","PTHR12606","KOG3246","","","AT4G33620.1","","Cysteine proteinases superfamily protein",1
"Bra009680","Bra009680","PF08263,PF00560","PTHR23258","KOG0472","","","AT5G23400.1","","Leucine-rich repeat (LRR) family protein",1
"Bra000883","Bra000883","PF02037,PF05406,PF02877,PF00644","PTHR15447","KOG1037","2.4.2.30","K10798","AT4G02390.1","APP,ATPARP1,PARP1,PP","poly(ADP-ribose) polymerase",1
"Bra011541","Bra011541","PF05368,PF01370","PTHR10366","","","","AT4G34540.1","","NmrA-like negative transcriptional regulator family protein",1
"Bra040573","Bra040573","PF03169","PTHR22601","KOG2262","","","AT4G16370.1","ATOPT3,OPT3","oligopeptide transporter",1
"Bra030316","Bra030316","PF00121","PTHR21139","KOG1643","5.3.1.1","K01803","AT2G21170.1","PDTPI,TIM","triosephosphate isomerase",1
"Bra035486","Bra035486","PF01597","PTHR11715","KOG3373","","","AT1G32470.1","","Single hybrid motif superfamily protein",1
"Bra038950","Bra038950","","PTHR16012:SF3","","","","AT5G33300.1","","chromosome-associated kinesin-related",1
"Bra003072","Bra003072","PF03478","","","","","AT5G52940.1","","Protein of unknown function (DUF295)",1
"Bra006750","Bra006750","PF10262","PTHR13544","KOG3286","","","AT5G58640.1","","Selenoprotein, Rdx type",1
"Bra010616","Bra010616","PF00349,PF03727","PTHR19443","KOG1369","2.7.1.1","K00844","AT4G37840.1","HKL3","hexokinase-like 3",1
"Bra013053","Bra013053","PF00141","","","","","AT4G35000.1","APX3","ascorbate peroxidase 3",1
"Bra018897","Bra018897","PF04099,PF04628","PTHR23249","KOG3368","","","AT1G51160.1","","SNARE-like superfamily protein",1
"Bra037655","Bra037655","PF03107,PF07649","PTHR13871:SF2","","","","AT2G44370.1","","Cysteine/Histidine-rich C1 domain family protein",1
"Bra006794","Bra006794","PF00240","PTHR10621","KOG4495","","","AT5G57860.1","","Ubiquitin-like superfamily protein",1
"Bra014696","Bra014696","","","","","","AT3G56360.1","","",1
"Bra018458","Bra018458","PF01422","PTHR12360","KOG1952","","","AT1G10170.1","ATNFXL1,NFXL1","NF-X-like 1",1
"Bra021961","Bra021961","PF03283","PTHR21562","KOG4287","","","AT5G45280.2","","Pectinacetylesterase family protein",1
"Bra005632","Bra005632","PF00583","","","","","AT2G32020.1","","Acyl-CoA N-acyltransferases (NAT) superfamily protein",1
"Bra029043","Bra029043","PF01145","PTHR10264","KOG2620","","","AT4G27585.1","","SPFH/Band 7/PHB domain-containing membrane-associated protein family",1
"Bra019132","Bra019132*","PF00141","","","1.11.1.7","K00430","AT4G26010.1","","Peroxidase superfamily protein",1
"Bra019133","Bra019133*","PF00013","PTHR10288","KOG2190","","","AT4G26000.1","PEP","RNA-binding KH domain-containing protein",1
"Bra020400","Bra020400*","PF00443","PTHR10420","KOG1867","3.1.2.15","K11855","AT5G57990.1","UBP23","ubiquitin-specific protease 23",1
"Bra020401","Bra020401*","PF02421,PF01926","PTHR10229","KOG0410","","K03665","AT5G57960.1","","GTP-binding protein, HflX",1
"Bra037570","Bra037570*","PF01501","PTHR11183","KOG1950","","","AT3G18660.2","GUX1,PGSIP1","plant glycogenin-like starch initiation protein 1",1
"Bra037571","Bra037571*","PF00319","PTHR11945","KOG0014","","","AT3G18650.1","AGL103","AGAMOUS-like 103",1
"Bra032053","Bra032053*","","","","","","AT2G24960.1","","",1
"Bra032054","Bra032054*","","","","","","AT2G24960.2","","",1
"Bra000488","Bra000488*","PF03478","","","","","AT5G52930.1","","Protein of unknown function (DUF295)",1
"Bra000489","Bra000489*","PF03478","","","","","AT5G54550.1","","Protein of unknown function (DUF295)",1
"Bra024300","Bra024300","PF00300","PTHR23029","KOG4754","","","AT5G64460.1","","Phosphoglycerate mutase family protein",2
"Bra028357","Bra028357","PF00010","","","","","AT3G24140.1","FMA","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",2
"Bra001848","Bra001848","","","","","","AT3G21865.1","PEX22","peroxin 22",2
"Bra010126","Bra010126","PF00300","PTHR23029","KOG0235","","","AT5G62840.1","","Phosphoglycerate mutase family protein",2
"Bra005338","Bra005338","","","","","","AT2G35480.1","","",2
"Bra039578","Bra039578","PF00191","PTHR10502","KOG0819","","","AT1G35720.1","ANNAT1,ATOXY5,OXY5","annexin 1",2
"Bra037748","Bra037748","PF00069,PF07714","PTHR11295","KOG0666","2.7.11.22","K07760","AT5G63610.1","ATCDK8,CDKE;1,HEN3","cyclin-dependent kinase E;1",2
"Bra009586","Bra009586","PF02319,PF08781","PTHR12548","KOG2829","","","AT5G02470.1","DPA","Transcription factor DP",2
"Bra011714","Bra011714","PF10288","PTHR20882","KOG2594","","K14169","AT4G35910.1","","Adenine nucleotide alpha hydrolases-like superfamily protein",2
"Bra029108","Bra029108","PF00579","PTHR10055","KOG2713","6.1.1.2","K01867","AT2G25840.2","OVA4","Nucleotidylyl transferase superfamily protein",2
"Bra016320","Bra016320","","PTHR11821:SF20","","","","AT1G24120.1","ARL1","ARG1-like 1",3
"Bra005924","Bra005924","PF03208","PTHR19317","KOG3142","","","AT5G07110.1","PRA1.B6","prenylated RAB acceptor 1.B6",3
"Bra030031","Bra030031","PF00479,PF02781","PTHR23429","KOG0563","1.1.1.49","K00036","AT1G24280.1","G6PD3","glucose-6-phosphate dehydrogenase 3",3
"Bra007460","Bra007460","PF00566","PTHR22957","KOG2197","","","AT2G43490.1","","Ypt/Rab-GAP domain of gyp1p superfamily protein",4
"Bra021792","Bra021792","","","","","","","","",4
"Bra002352","Bra002352","PF03447,PF00742","PTHR21499","KOG0455","","","AT5G21060.2","","Glyceraldehyde-3-phosphate dehydrogenase-like family protein",4
"Bra014802","Bra014802","PF00170,PF07716,PF12498","PTHR23125","KOG1947","","","AT3G54650.1","FBL17","RNI-like superfamily protein",4
"Bra033670","Bra033670","PF00560,PF11721,PF00069,PF07714","PTHR23258","KOG1187","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase",4
"Bra012462","Bra012462","PF00118","PTHR11353","KOG0356","","","AT1G26230.1","","TCP-1/cpn60 chaperonin family protein",4
